address,floor,plan,price,square
р-н Мотовилихинский, 3/9 эт.,2-к квартира,3 000 000  ₽, 43.3 м²
р-н Орджоникидзевский, 8/9 эт.,1-к квартира,1 950 000  ₽, 36 м²
р-н Свердловский, 2/16 эт.,2-к апартаменты,2 100 000  ₽, 43 м²
р-н Кировский, 13/16 эт.,1-к квартира,2 400 000  ₽, 38 м²
р-н Свердловский, 5/9 эт.,4-к квартира,5 100 000  ₽, 77 м²
р-н Дзержинский, 9/25 эт.,1-к квартира,2 708 640  ₽, 39.6 м²
р-н Мотовилихинский, 2/19 эт.,2-к квартира,5 000 000  ₽, 60 м²
р-н Дзержинский, 12/25 эт.,1-к квартира,3 100 000  ₽, 39.3 м²
р-н Индустриальный, 5/16 эт.,2-к квартира,4 680 000  ₽, 69 м²
р-н Свердловский, 5/5 эт.,3-к квартира,4 300 000  ₽, 85.3 м²
р-н Свердловский, 1/5 эт.,2-к квартира,2 650 000  ₽, 44 м²
р-н Мотовилихинский, 1/9 эт.,1-к квартира,1 260 000  ₽, 19.5 м²
р-н Кировский, 10/16 эт.,Квартира-студия,1 900 000  ₽, 31.5 м²
р-н Дзержинский, 5/5 эт.,1-к квартира,1 890 000  ₽, 31 м²
р-н Свердловский, 8/25 эт.,1-к квартира,3 150 000  ₽, 39 м²
р-н Свердловский, 1/16 эт.,1-к квартира,2 400 000  ₽, 42 м²
р-н Индустриальный, 2/9 эт.,Студия,1 700 000  ₽, 29 м²
р-н Дзержинский, 14/16 эт.,2-к квартира,4 300 000  ₽, 56.3 м²
р-н Свердловский, 8/16 эт.,1-к квартира,3 700 000  ₽, 44.8 м²
р-н Мотовилихинский, 8/10 эт.,1-к квартира,2 170 000  ₽, 35.9 м²
р-н Свердловский, 7/9 эт.,3-к квартира,2 750 000  ₽, 52.7 м²
р-н Мотовилихинский, 1/5 эт.,2-к квартира,2 600 000  ₽, 46.3 м²
р-н Орджоникидзевский, 3/5 эт.,1-к квартира,1 600 000  ₽, 37 м²
р-н Орджоникидзевский, 2/2 эт.,2-к квартира,1 620 000  ₽, 57.6 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 260 000  ₽, 31.6 м²
р-н Орджоникидзевский, 1/5 эт.,3-к квартира,2 100 000  ₽, 61.6 м²
р-н Свердловский, 5/5 эт.,3-к квартира,3 500 000  ₽, 61.4 м²
р-н Свердловский, 9/19 эт.,2-к квартира,3 600 000  ₽, 52 м²
р-н Мотовилихинский, 4/9 эт.,2-к квартира,3 700 000  ₽, 52 м²
р-н Свердловский, 9/12 эт.,4-к квартира,7 990 000  ₽, 128 м²
р-н Свердловский, 4/5 эт.,2-к квартира,2 360 000  ₽, 47.5 м²
р-н Мотовилихинский, 3/5 эт.,3-к квартира,2 500 000  ₽, 47.9 м²
р-н Свердловский, 18/25 эт.,3-к квартира,6 237 000  ₽, 78 м²
р-н Мотовилихинский, 4/5 эт.,1-к квартира,2 000 000  ₽, 31.2 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,3 100 000  ₽, 46.1 м²
р-н Дзержинский, 1/10 эт.,1-к квартира,2 600 000  ₽, 42 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 450 000  ₽, 38 м²
р-н Ленинский, 3/5 эт.,2-к квартира,2 500 000  ₽, 45.6 м²
р-н Индустриальный, 10/10 эт.,3-к квартира,4 100 000  ₽, 62.6 м²
р-н Свердловский, 18/19 эт.,4-к квартира,9 950 000  ₽, 119.2 м²
р-н Орджоникидзевский, 4/10 эт.,2-к квартира,2 650 000  ₽, 53 м²
р-н Свердловский, 2/25 эт.,Квартира-студия,1 246 835  ₽, 19.1 м²
р-н Индустриальный, 3/5 эт.,1-к квартира,1 150 000  ₽, 19 м²
р-н Орджоникидзевский, 5/5 эт.,3-к квартира,1 950 000  ₽, 58 м²
р-н Индустриальный, 5/5 эт.,4-к квартира,3 150 000  ₽, 62 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 750 000  ₽, 45 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 700 000  ₽, 53.5 м²
р-н Орджоникидзевский, 5/5 эт.,2-к квартира,1 740 000  ₽, 44 м²
р-н Дзержинский, 2/4 эт.,3-к квартира,3 400 000  ₽, 67 м²
р-н Ленинский, 14/25 эт.,2-к квартира,7 500 000  ₽, 76 м²
р-н Свердловский, 8/10 эт.,2-к квартира,4 100 000  ₽, 52 м²
р-н Ленинский, 5/9 эт.,3-к квартира,3 500 000  ₽, 63 м²
р-н Мотовилихинский, 8/16 эт.,2-к квартира,4 100 000  ₽, 60 м²
р-н Кировский, 7/26 эт.,1-к квартира,2 330 000  ₽, 35.3 м²
р-н Орджоникидзевский, 3/5 эт.,2-к квартира,1 600 000  ₽, 43.7 м²
р-н Мотовилихинский, 4/4 эт.,2-к квартира,3 200 000  ₽, 60.4 м²
р-н Индустриальный, 3/5 эт.,3-к квартира,2 500 000  ₽, 57.6 м²
р-н Дзержинский, 5/5 эт.,2-к квартира,2 890 000  ₽, 43 м²
р-н Индустриальный, 10/19 эт.,1-к квартира,3 250 000  ₽, 41.5 м²
р-н Индустриальный, 9/9 эт.,2-к квартира,2 950 000  ₽, 43.4 м²
р-н Свердловский, 9/25 эт.,1-к квартира,4 600 000  ₽, 46.1 м²
р-н Орджоникидзевский, 5/9 эт.,3-к квартира,2 500 000  ₽, 63 м²
р-н Свердловский, 5/5 эт.,2-к квартира,3 025 000  ₽, 44 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 700 000  ₽, 48 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 500 000  ₽, 41 м²
р-н Кировский, 1/16 эт.,3-к квартира,4 380 000  ₽, 81 м²
р-н Мотовилихинский, 5/5 эт.,1-к квартира,1 990 000  ₽, 31 м²
р-н Свердловский, 18/25 эт.,2-к квартира,9 500 000  ₽, 104 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 290 000  ₽, 34 м²
р-н Дзержинский, 7/10 эт.,1-к квартира,3 150 000  ₽, 42.2 м²
р-н Мотовилихинский, 24/27 эт.,2-к квартира,4 050 000  ₽, 71.1 м²
р-н Индустриальный, 2/5 эт.,1-к квартира,1 850 000  ₽, 32.1 м²
р-н Мотовилихинский, 3/9 эт.,1-к квартира,1 900 000  ₽, 34.6 м²
р-н Дзержинский, 8/17 эт.,2-к квартира,6 500 000  ₽, 74.5 м²
р-н Мотовилихинский, 4/10 эт.,4-к квартира,8 950 000  ₽, 143 м²
р-н Свердловский, 11/25 эт.,3-к квартира,2 822 502  ₽, 48.1 м²
р-н Мотовилихинский, 2/5 эт.,1-к квартира,2 200 000  ₽, 30 м²
р-н Орджоникидзевский, 8/9 эт.,1-к квартира,1 800 000  ₽, 35.5 м²
р-н Свердловский, 9/16 эт.,Своб. планировка,2 200 000  ₽, 39.8 м²
р-н Дзержинский, 10/18 эт.,1-к квартира,4 190 000  ₽, 40 м²
р-н Мотовилихинский, 1/5 эт.,3-к квартира,3 100 000  ₽, 78 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 500 000  ₽, 38 м²
р-н Мотовилихинский, 1/5 эт.,1-к квартира,1 840 000  ₽, 31.1 м²
р-н Свердловский, 1/10 эт.,1-к квартира,2 630 000  ₽, 33.9 м²
р-н Кировский, 5/5 эт.,2-к квартира,2 100 000  ₽, 46.7 м²
р-н Кировский, 4/5 эт.,3-к квартира,2 599 000  ₽, 55 м²
р-н Орджоникидзевский, 3/5 эт.,1-к квартира,1 650 000  ₽, 33.5 м²
р-н Ленинский, 8/9 эт.,3-к квартира,4 100 000  ₽, 60 м²
р-н Свердловский, 3/18 эт.,3-к квартира,7 400 000  ₽, 92 м²
р-н Кировский, 6/17 эт.,3-к квартира,3 350 000  ₽, 71 м²
р-н Кировский, 10/10 эт.,3-к квартира,3 550 000  ₽, 68.7 м²
р-н Мотовилихинский, 17/24 эт.,1-к квартира,3 550 000  ₽, 42 м²
р-н Мотовилихинский, 5/5 эт.,1-к квартира,2 100 000  ₽, 31 м²
р-н Дзержинский, 2/5 эт.,1-к квартира,2 150 000  ₽, 30 м²
р-н Дзержинский, 4/20 эт.,2-к квартира,3 800 000  ₽, 57 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,2 650 000  ₽, 44.7 м²
р-н Дзержинский, 13/14 эт.,3-к квартира,3 350 000  ₽, 59.9 м²
р-н Свердловский, 4/10 эт.,4-к квартира,7 600 000  ₽, 121 м²
р-н Дзержинский, 5/16 эт.,2-к квартира,3 950 000  ₽, 49 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 490 000  ₽, 46 м²
р-н Мотовилихинский, 10/10 эт.,2-к квартира,3 300 000  ₽, 62.6 м²
р-н Индустриальный, 2/9 эт.,3-к квартира,3 200 000  ₽, 61 м²
р-н Орджоникидзевский, 1/5 эт.,1-к квартира,1 340 000  ₽, 30 м²
р-н Дзержинский, 5/9 эт.,2-к квартира,3 150 000  ₽, 45.5 м²
р-н Орджоникидзевский, 8/10 эт.,2-к квартира,2 850 000  ₽, 56 м²
р-н Дзержинский, 6/9 эт.,1-к квартира,2 750 000  ₽, 33.4 м²
р-н Индустриальный, 1/5 эт.,2-к квартира,2 400 000  ₽, 44 м²
р-н Дзержинский, 3/9 эт.,3-к квартира,5 200 000  ₽, 68.2 м²
р-н Мотовилихинский, 8/17 эт.,1-к квартира,2 600 000  ₽, 41 м²
р-н Свердловский, 13/19 эт.,2-к квартира,4 300 000  ₽, 57 м²
р-н Индустриальный, 7/10 эт.,1-к квартира,2 920 000  ₽, 35.5 м²
р-н Свердловский, 15/16 эт.,6-к квартира,23 000 000  ₽, 279.1 м²
р-н Индустриальный, 5/19 эт.,2-к квартира,4 050 000  ₽, 52 м²
р-н Кировский, 8/9 эт.,3-к квартира,3 700 000  ₽, 67.1 м²
р-н Свердловский, 2/9 эт.,1-к квартира,1 950 000  ₽, 30.6 м²
р-н Свердловский, 5/5 эт.,1-к квартира,2 249 000  ₽, 31 м²
р-н Свердловский, 1/5 эт.,1-к квартира,2 200 000  ₽, 33 м²
р-н Свердловский, 4/5 эт.,2-к квартира,3 350 000  ₽, 41.7 м²
р-н Индустриальный, 12/25 эт.,1-к квартира,2 856 000  ₽, 44.7 м²
р-н Мотовилихинский, 5/5 эт.,1-к квартира,1 900 000  ₽, 32 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,2 550 000  ₽, 44 м²
р-н Мотовилихинский, 6/9 эт.,3-к квартира,2 700 000  ₽, 64 м²
р-н Свердловский, 4/4 эт.,2-к квартира,5 200 000  ₽, 60 м²
р-н Дзержинский, 5/10 эт.,1-к квартира,2 250 000  ₽, 38 м²
р-н Мотовилихинский, 2/10 эт.,3-к квартира,4 300 000  ₽, 80 м²
р-н Мотовилихинский, 8/17 эт.,1-к квартира,2 600 000  ₽, 41 м²
р-н Свердловский, 13/19 эт.,2-к квартира,4 300 000  ₽, 57 м²
р-н Индустриальный, 7/10 эт.,1-к квартира,2 920 000  ₽, 35.5 м²
р-н Свердловский, 15/16 эт.,6-к квартира,23 000 000  ₽, 279.1 м²
р-н Индустриальный, 5/19 эт.,2-к квартира,4 050 000  ₽, 52 м²
р-н Кировский, 8/9 эт.,3-к квартира,3 700 000  ₽, 67.1 м²
р-н Свердловский, 2/9 эт.,1-к квартира,1 950 000  ₽, 30.6 м²
р-н Свердловский, 5/5 эт.,1-к квартира,2 249 000  ₽, 31 м²
р-н Свердловский, 1/5 эт.,1-к квартира,2 200 000  ₽, 33 м²
р-н Свердловский, 4/5 эт.,2-к квартира,3 350 000  ₽, 41.7 м²
р-н Индустриальный, 12/25 эт.,1-к квартира,2 856 000  ₽, 44.7 м²
р-н Мотовилихинский, 5/5 эт.,1-к квартира,1 900 000  ₽, 32 м²
р-н Мотовилихинский, 6/9 эт.,3-к квартира,2 700 000  ₽, 64 м²
р-н Свердловский, 4/4 эт.,2-к квартира,5 200 000  ₽, 60 м²
р-н Дзержинский, 5/10 эт.,1-к квартира,2 250 000  ₽, 38 м²
р-н Мотовилихинский, 2/10 эт.,3-к квартира,4 300 000  ₽, 80 м²
р-н Орджоникидзевский, 2/2 эт.,3-к квартира,1 559 000  ₽, 55 м²
р-н Дзержинский, 9/10 эт.,3-к квартира,4 000 000  ₽, 61 м²
р-н Свердловский, 5/5 эт.,1-к квартира,2 000 000  ₽, 31.1 м²
р-н Свердловский, 15/16 эт.,1-к квартира,3 300 000  ₽, 41.9 м²
р-н Свердловский, 5/19 эт.,2-к квартира,5 700 000  ₽, 66.3 м²
р-н Дзержинский, 9/10 эт.,6-к квартира,15 500 000  ₽, 234.3 м²
р-н Орджоникидзевский, 7/9 эт.,2-к квартира,2 320 000  ₽, 44 м²
р-н Ленинский, 6/12 эт.,1-к квартира,2 780 000  ₽, 35.3 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,3 000 000  ₽, 40 м²
р-н Кировский, 9/9 эт.,1-к квартира,1 100 000  ₽, 31 м²
р-н Дзержинский, 3/9 эт.,2-к квартира,4 215 000  ₽, 53.4 м²
р-н Дзержинский, 8/12 эт.,1-к квартира,2 900 000  ₽, 31.8 м²
р-н Индустриальный, 4/4 эт.,Квартира-студия,1 600 000  ₽, 26 м²
р-н Мотовилихинский, 6/9 эт.,3-к квартира,3 050 000  ₽, 52 м²
р-н Кировский, 4/9 эт.,2-к квартира,2 550 000  ₽, 43 м²
р-н Индустриальный, 13/16 эт.,1-к квартира,2 800 000  ₽, 37 м²
р-н Кировский, 2/4 эт.,3-к квартира,6 350 000  ₽, 92 м²
р-н Дзержинский, 10/10 эт.,3-к квартира,6 800 000  ₽, 84 м²
р-н Мотовилихинский, 2/5 эт.,2-к квартира,2 350 000  ₽, 43 м²
р-н Индустриальный, 10/16 эт.,1-к квартира,3 200 000  ₽, 43 м²
р-н Мотовилихинский, 5/10 эт.,2-к квартира,3 500 000  ₽, 52 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 190 000  ₽, 46.3 м²
р-н Кировский, 5/5 эт.,3-к квартира,2 499 000  ₽, 57.6 м²
р-н Индустриальный, 8/25 эт.,1-к квартира,2 809 000  ₽, 43.9 м²
р-н Дзержинский, 9/10 эт.,3-к квартира,3 000 000  ₽, 64 м²
р-н Мотовилихинский, 1/5 эт.,2-к квартира,2 550 000  ₽, 42.4 м²
р-н Индустриальный, 2/16 эт.,1-к квартира,2 600 000  ₽, 37 м²
р-н Свердловский, 2/25 эт.,Квартира-студия,1 246 835  ₽, 19.1 м²
р-н Свердловский, 7/16 эт.,2-к квартира,4 650 000  ₽, 66 м²
р-н Индустриальный, 3/10 эт.,1-к квартира,2 800 000  ₽, 34 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,1 950 000  ₽, 31 м²
р-н Индустриальный, 2/9 эт.,2-к квартира,3 300 000  ₽, 49.6 м²
р-н Свердловский, 4/16 эт.,3-к квартира,3 950 000  ₽, 67.3 м²
р-н Мотовилихинский, 1/5 эт.,2-к квартира,2 595 000  ₽, 44.4 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 450 000  ₽, 45.7 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 100 000  ₽, 42.9 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,2 950 000  ₽, 51.2 м²
р-н Свердловский, 2/2 эт.,2-к квартира,1 550 000  ₽, 36 м²
р-н Свердловский, 7/9 эт.,3-к квартира,2 500 000  ₽, 57.8 м²
р-н Мотовилихинский, 2/10 эт.,3-к квартира,5 960 000  ₽, 84 м²
р-н Орджоникидзевский, 21/25 эт.,3-к квартира,3 700 000  ₽, 66 м²
р-н Дзержинский, 16/17 эт.,1-к квартира,3 399 000  ₽, 39.2 м²
р-н Дзержинский, 4/5 эт.,1-к квартира,1 600 000  ₽, 34 м²
р-н Индустриальный, 14/14 эт.,2-к квартира,5 200 000  ₽, 68 м²
р-н Индустриальный, 5/16 эт.,1-к квартира,3 200 000  ₽, 43 м²
р-н Дзержинский, 4/9 эт.,2-к квартира,3 300 000  ₽, 44 м²
р-н Свердловский, 5/25 эт.,3-к квартира,2 956 867  ₽, 53.8 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 400 000  ₽, 44.2 м²
р-н Индустриальный, 4/24 эт.,2-к квартира,3 579 000  ₽, 47 м²
р-н Мотовилихинский, 10/16 эт.,1-к квартира,2 070 000  ₽, 31 м²
р-н Свердловский, 7/10 эт.,3-к квартира,3 500 000  ₽, 67 м²
р-н Мотовилихинский, 3/3 эт.,1-к квартира,1 399 000  ₽, 30.1 м²
р-н Индустриальный, 8/10 эт.,1-к квартира,3 000 000  ₽, 42 м²
р-н Индустриальный, 6/9 эт.,2-к квартира,3 200 000  ₽, 52.6 м²
р-н Мотовилихинский, 4/16 эт.,2-к квартира,3 471 510  ₽, 42.7 м²
р-н Дзержинский, 1/5 эт.,3-к квартира,2 750 000  ₽, 59 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 280 000  ₽, 44 м²
р-н Индустриальный, 5/10 эт.,1-к квартира,2 300 000  ₽, 34.4 м²
р-н Дзержинский, 9/9 эт.,4-к квартира,4 700 000  ₽, 92 м²
р-н Дзержинский, 11/13 эт.,3-к квартира,7 850 000  ₽, 94 м²
р-н Индустриальный, 4/5 эт.,1-к квартира,2 250 000  ₽, 30.8 м²
р-н Свердловский, 14/15 эт.,3-к квартира,3 600 000  ₽, 66 м²
р-н Мотовилихинский, 2/17 эт.,4-к квартира,8 200 000  ₽, 107 м²
р-н Индустриальный, 5/5 эт.,3-к квартира,3 000 000  ₽, 56 м²
р-н Кировский, 1/26 эт.,1-к квартира,2 169 252  ₽, 36.3 м²
р-н Орджоникидзевский, 15/25 эт.,Квартира-студия,1 550 000  ₽, 26.5 м²
р-н Дзержинский, 2/3 эт.,1-к квартира,1 335 000  ₽, 33 м²
р-н Мотовилихинский, 5/14 эт.,1-к квартира,2 350 000  ₽, 33.7 м²
р-н Дзержинский, 3/5 эт.,2-к квартира,2 890 000  ₽, 43.1 м²
р-н Мотовилихинский, 5/5 эт.,2-к квартира,2 400 000  ₽, 40.6 м²
р-н Ленинский, 2/5 эт.,2-к квартира,2 700 000  ₽, 42 м²
р-н Мотовилихинский, 2/16 эт.,Квартира-студия,2 270 700  ₽, 26.1 м²
р-н Ленинский, 3/6 эт.,3-к квартира,8 950 000  ₽, 114.8 м²
р-н Индустриальный, 1/5 эт.,2-к квартира,2 900 000  ₽, 46 м²
р-н Дзержинский, 4/5 эт.,1-к квартира,2 200 000  ₽, 30.8 м²
р-н Ленинский, 4/7 эт.,3-к квартира,10 800 000  ₽, 156 м²
р-н Дзержинский, 4/9 эт.,3-к квартира,3 350 000  ₽, 58 м²
р-н Индустриальный, 5/25 эт.,2-к квартира,4 200 000  ₽, 61 м²
р-н Свердловский, 14/20 эт.,3-к квартира,12 500 000  ₽, 113 м²
р-н Дзержинский, 9/9 эт.,1-к квартира,3 150 000  ₽, 45 м²
р-н Свердловский, 4/25 эт.,1-к квартира,2 800 000  ₽, 29 м²
р-н Мотовилихинский, 8/16 эт.,1-к квартира,3 000 000  ₽, 42 м²
р-н Ленинский, 5/9 эт.,2-к квартира,3 400 000  ₽, 43 м²
р-н Дзержинский, 2/10 эт.,3-к квартира,7 700 000  ₽, 77.3 м²
р-н Индустриальный, 14/17 эт.,2-к квартира,3 590 000  ₽, 61.9 м²
р-н Свердловский, 1/5 эт.,2-к квартира,2 350 000  ₽, 43 м²
р-н Дзержинский, 1/10 эт.,3-к квартира,4 500 000  ₽, 69.1 м²
р-н Мотовилихинский, 10/10 эт.,1-к квартира,2 300 000  ₽, 33 м²
р-н Кировский, 1/2 эт.,3-к квартира,3 000 000  ₽, 107 м²
р-н Свердловский, 4/5 эт.,3-к квартира,3 900 000  ₽, 55.2 м²
р-н Свердловский, 5/16 эт.,3-к квартира,5 650 000  ₽, 78.7 м²
р-н Кировский, 4/5 эт.,2-к квартира,2 150 000  ₽, 41.6 м²
р-н Свердловский, 7/9 эт.,2-к квартира,3 100 000  ₽, 44 м²
р-н Свердловский, 1/9 эт.,2-к квартира,2 750 000  ₽, 43 м²
р-н Мотовилихинский, 4/5 эт.,2-к квартира,2 400 000  ₽, 45 м²
р-н Индустриальный, 1/5 эт.,2-к квартира,2 300 000  ₽, 43.2 м²
р-н Кировский, 12/15 эт.,1-к квартира,2 450 000  ₽, 37.1 м²
р-н Дзержинский, 4/5 эт.,2-к квартира,2 400 000  ₽, 47.4 м²
р-н Индустриальный, 2/7 эт.,1-к квартира,2 200 000  ₽, 31.6 м²
р-н Орджоникидзевский, 5/5 эт.,2-к квартира,1 800 000  ₽, 44 м²
р-н Свердловский, 3/5 эт.,1-к квартира,1 799 000  ₽, 30.5 м²
р-н Мотовилихинский, 3/12 эт.,Квартира-студия,2 242 000  ₽, 27 м²
р-н Индустриальный, 8/9 эт.,Студия,1 180 000  ₽, 21 м²
р-н Мотовилихинский, 4/5 эт.,2-к квартира,2 700 000  ₽, 42 м²
р-н Ленинский, 10/17 эт.,4-к квартира,28 000 000  ₽, 150 м²
р-н Дзержинский, 15/16 эт.,2-к квартира,3 300 000  ₽, 60.3 м²
р-н Свердловский, 2/10 эт.,1-к квартира,2 200 000  ₽, 34.4 м²
р-н Орджоникидзевский, 3/9 эт.,1-к квартира,1 750 000  ₽, 42.5 м²
р-н Мотовилихинский, 2/5 эт.,4-к квартира,3 914 000  ₽, 100.8 м²
р-н Мотовилихинский, 10/10 эт.,4-к квартира,2 600 000  ₽, 79.9 м²
р-н Ленинский, 7/10 эт.,2-к квартира,7 900 000  ₽, 72 м²
р-н Свердловский, 1/9 эт.,3-к квартира,3 050 000  ₽, 52 м²
р-н Кировский, 4/5 эт.,3-к квартира,2 200 000  ₽, 60 м²
р-н Свердловский, 6/10 эт.,4-к квартира,6 600 000  ₽, 94 м²
р-н Свердловский, 16/25 эт.,2-к квартира,4 030 000  ₽, 57 м²
р-н Индустриальный, 17/25 эт.,3-к квартира,5 410 000  ₽, 94.1 м²
р-н Дзержинский, 4/5 эт.,1-к квартира,2 190 000  ₽, 32.5 м²
р-н Свердловский, 2/5 эт.,3-к квартира,2 650 000  ₽, 48 м²
р-н Свердловский, 13/25 эт.,1-к квартира,3 000 000  ₽, 38.5 м²
р-н Индустриальный, 4/19 эт.,3-к квартира,3 757 200  ₽, 58.6 м²
р-н Индустриальный, 3/5 эт.,3-к квартира,4 100 000  ₽, 58 м²
р-н Свердловский, 6/25 эт.,3-к квартира,6 000 000  ₽, 78 м²
р-н Дзержинский, 7/16 эт.,2-к квартира,2 875 000  ₽, 40.1 м²
р-н Индустриальный, 7/10 эт.,4-к квартира,16 900 000  ₽, 169 м²
р-н Мотовилихинский, 2/5 эт.,1-к квартира,1 990 000  ₽, 31 м²
р-н Мотовилихинский, 5/9 эт.,2-к квартира,2 800 000  ₽, 50.4 м²
р-н Дзержинский, 6/12 эт.,1-к квартира,3 100 000  ₽, 43 м²
р-н Свердловский, 3/19 эт.,1-к квартира,3 200 000  ₽, 40 м²
р-н Индустриальный, 3/5 эт.,2-к квартира,3 300 000  ₽, 40 м²
р-н Орджоникидзевский, 3/5 эт.,1-к квартира,1 870 000  ₽, 31.8 м²
р-н Ленинский, 2/4 эт.,3-к квартира,3 290 000  ₽, 60 м²
р-н Дзержинский, 5/9 эт.,2-к квартира,3 700 000  ₽, 54 м²
р-н Свердловский, 10/11 эт.,3-к квартира,14 000 000  ₽, 145 м²
р-н Орджоникидзевский, 1/16 эт.,4-к квартира,3 300 000  ₽, 82 м²
р-н Дзержинский, 12/20 эт.,1-к квартира,3 900 000  ₽, 39.3 м²
р-н Орджоникидзевский, 10/10 эт.,1-к квартира,1 850 000  ₽, 41.1 м²
р-н Орджоникидзевский, 10/10 эт.,3-к квартира,7 300 000  ₽, 107 м²
р-н Дзержинский, 5/9 эт.,1-к квартира,3 400 000  ₽, 47.8 м²
р-н Дзержинский, 5/5 эт.,2-к квартира,2 500 000  ₽, 44 м²
р-н Дзержинский, 1/4 эт.,2-к квартира,1 920 000  ₽, 43 м²
р-н Кировский, 8/16 эт.,1-к квартира,1 852 000  ₽, 34 м²
р-н Дзержинский, 1/2 эт.,4-к квартира,5 990 000  ₽, 95 м²
р-н Дзержинский, 1/5 эт.,2-к квартира,2 395 000  ₽, 43 м²
р-н Кировский, 2/3 эт.,3-к квартира,2 000 000  ₽, 56.1 м²
р-н Индустриальный, 4/19 эт.,1-к квартира,4 100 000  ₽, 45 м²
р-н Индустриальный, 23/25 эт.,1-к квартира,3 600 000  ₽, 43 м²
р-н Дзержинский, 25/25 эт.,2-к квартира,4 449 000  ₽, 54.2 м²
р-н Дзержинский, 4/5 эт.,2-к квартира,2 500 000  ₽, 47 м²
р-н Свердловский, 10/12 эт.,1-к квартира,3 200 000  ₽, 43 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,2 850 000  ₽, 43 м²
р-н Индустриальный, 2/9 эт.,1-к квартира,2 450 000  ₽, 34.1 м²
р-н Свердловский, 8/17 эт.,1-к квартира,2 190 000  ₽, 29.8 м²
р-н Индустриальный, 10/24 эт.,2-к квартира,4 279 000  ₽, 60 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 580 000  ₽, 43.7 м²
р-н Кировский, 4/5 эт.,2-к квартира,1 970 000  ₽, 43.4 м²
р-н Дзержинский, 19/19 эт.,Своб. планировка,9 000 000  ₽, 127 м²
р-н Дзержинский, 4/7 эт.,2-к квартира,5 880 300  ₽, 66.3 м²
р-н Свердловский, 9/17 эт.,2-к квартира,4 700 000  ₽, 72.2 м²
р-н Свердловский, 3/5 эт.,1-к квартира,2 100 000  ₽, 31.1 м²
р-н Мотовилихинский, 1/9 эт.,3-к квартира,2 900 000  ₽, 59.7 м²
р-н Индустриальный, 2/15 эт.,1-к квартира,2 708 000  ₽, 40.3 м²
р-н Ленинский, 2/5 эт.,3-к квартира,5 100 000  ₽, 67.9 м²
р-н Свердловский, 1/5 эт.,2-к квартира,2 600 000  ₽, 46 м²
р-н Кировский, 21/25 эт.,2-к квартира,3 000 000  ₽, 45.1 м²
р-н Дзержинский, 3/10 эт.,2-к квартира,4 150 000  ₽, 64 м²
р-н Дзержинский, 14/15 эт.,1-к квартира,2 650 000  ₽, 38 м²
р-н Свердловский, 4/9 эт.,2-к квартира,3 450 000  ₽, 48.2 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,1 750 000  ₽, 25 м²
р-н Дзержинский, 3/5 эт.,1-к квартира,2 660 000  ₽, 37 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 600 000  ₽, 44 м²
р-н Индустриальный, 4/9 эт.,3-к квартира,2 990 000  ₽, 53 м²
р-н Орджоникидзевский, 1/5 эт.,2-к квартира,2 100 000  ₽, 44 м²
р-н Индустриальный, 5/24 эт.,1-к квартира,2 896 000  ₽, 46.5 м²
р-н Индустриальный, 2/25 эт.,2-к квартира,2 988 200  ₽, 44.6 м²
р-н Индустриальный, 3/5 эт.,1-к квартира,1 060 000  ₽, 12.3 м²
р-н Дзержинский, 12/12 эт.,2-к квартира,3 000 000  ₽, 50 м²
р-н Ленинский, 4/5 эт.,2-к квартира,3 900 000  ₽, 49 м²
р-н Мотовилихинский, 10/10 эт.,1-к квартира,2 300 000  ₽, 33.8 м²
р-н Дзержинский, 7/9 эт.,2-к квартира,2 900 000  ₽, 44 м²
р-н Кировский, 1/10 эт.,1-к квартира,2 110 000  ₽, 39 м²
р-н Свердловский, 1/5 эт.,1-к квартира,1 800 000  ₽, 31 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,2 500 000  ₽, 48 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 650 000  ₽, 55 м²
р-н Мотовилихинский, 3/16 эт.,2-к квартира,3 276 390  ₽, 40.3 м²
