"OlympiadType","Status","TeamSize","Subject","Year_end","Class","ShortName","Year_begin"
"Районная олимпиада","призёр",4,"Литература",2018,9,"ГБОУ школа № 1506",2017
"Московская олимпиада","победитель",5,"Изобразительное искусство",2018,11,"ГБОУ школа № 1955",2017
"Всероссийская олимпиада","призёр",3,"Физическая культура",2013,10,"ГБОУ СОШ № 1825",2012
"Всероссийская олимпиада","призёр",3,"Экономика",2019,10,"ГБОУ школа № 57",2018
"Московская олимпиада","победитель",4,"Технология",2018,8,"ГБОУ школа № 1561",2017
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2016,10,"НИУ ВШЭ. лицей",2015
"Всероссийская олимпиада","призёр",5,"Литература",2018,9,"ГБОУ Инженерно-техническая школа",2017
"Московская олимпиада","победитель",5,"Иностранный язык (французский язык)",2019,8,"ГБОУ школа № 1563",2018
"Районная олимпиада","призёр",3,"Литература",2017,9,"ГБОУ школа № 1208",2016
"Московская олимпиада","призёр",3,"Математика",2015,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014
"Всероссийская олимпиада","призёр",5,"Литература",2016,9,"ГБОУ гимназия № 1514",2015
"Московская олимпиада","призёр",3,"История",2018,8,"ГБОУ школа № 444",2017
"Всероссийская олимпиада","призёр",4,"Русский язык",2020,10,"ГБОУ школа № 641 имени С. Есенина",2019
"Всероссийская олимпиада","победитель",5,"История",2016,9,"ГБОУ школа № 109",2015
"Всероссийская олимпиада","призёр",5,"Литература",2019,10,"ГБОУ школа № 2009",2018
"Районная олимпиада","призёр",3,"История",2015,10,"Предуниверситарий НИЯУ МИФИ",2014
"Всероссийская олимпиада","призёр",5,"Математика",2020,10,"ГБОУ школа № 2007 ФМШ",2019
"Всероссийская олимпиада","призёр",5,"Литература",2017,9,"ГБОУ школа № 1252 имени Сервантеса",2016
"Всероссийская олимпиада","победитель",4,"Иностранный язык (французский язык)",2017,9,"ГБОУ школа № 1286",2016
"Районная олимпиада","призёр",4,"История",2014,11,"ГБОУ СОШ № 1223",2013
"Московская олимпиада","призёр",3,"Математика",2017,7,"ГБОУ Физматшкола № 2007",2016
"Московская олимпиада","призёр",5,"Математика",2019,7,"ГБОУ школа № 1329",2018
"Всероссийская олимпиада","призёр",3,"Биология",2019,11,"ГБОУ школа № 192",2018
"Всероссийская олимпиада","победитель",3,"Обществознание",2016,11,"НИУ ВШЭ. лицей",2015
"Всероссийская олимпиада","призёр",3,"Биология",2016,11,"ГБОУ школа № 1413",2015
"Всероссийская олимпиада","победитель",3,"Иностранный язык (английский язык)",2016,11,"ГБОУ школа № 1363",2015
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2014,10,"ГБОУ СОШ № 1208",2013
"Всероссийская олимпиада","призёр",3,"Право",2017,10,"ГБОУ школа № 1329",2016
"Районная олимпиада","призёр",3,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,10,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017
"Московская олимпиада","призёр",5,"Математика",2019,9,"ГБОУ «Лицей «Вторая школа»",2018
"Московская олимпиада","победитель",4,"Изобразительное искусство",2014,10,"ГАОУ ЦО № 548",2013
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2020,11,"ГБОУ школа № 641 имени С. Есенина",2019
"Районная олимпиада","призёр",4,"Биология",2018,10,"ГБОУ школа № 1535",2017
"Районная олимпиада","призёр",4,"Иностранный язык (английский язык)",2018,10,"ГБОУ школа № 1535",2017
"Московская олимпиада","призёр",3,"Математика",2016,11,"ГБОУ лицей «Вторая школа»",2015
"Всероссийская олимпиада","призёр",3,"Информатика",2013,10,"ГАОУ ВО МИОО. СОШ № 179",2012
"Московская олимпиада","призёр",4,"Обществознание",2018,10,"ГБОУ школа № 1421",2017
"Московская олимпиада","призёр",3,"Математика",2016,11,"ГБОУ Физматшкола № 2007",2015
"Московская олимпиада","победитель",3,"Изобразительное искусство",2016,10,"ГБОУ школа № 1194",2015
"Московская олимпиада","призёр",5,"Физика",2014,11,"ГБОУ лицей № 1568",2013
"Московская олимпиада","призёр",4,"География",2016,7,"ГБОУ школа № 1454 «Центр образования Тимирязевский»",2015
"Московская олимпиада","призёр",4,"филология",2016,9,"ГБОУ школа № 727",2015
"Московская олимпиада","призёр",5,"Физика",2018,10,"ГБОУ школа № 2086",2017
"Всероссийская олимпиада","призёр",3,"Биология",2017,11,"ГБОУ школа № 2129",2016
"Районная олимпиада","призёр",3,"Математика",2019,10,"ГБОУ школа № 67",2018
"Всероссийская олимпиада","победитель",3,"География",2018,11,"ГБОУ школа № 2033",2017
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2015,11,"МГУПС (МИИТ)",2014
"Всероссийская олимпиада","призёр",4,"Физика",2013,11,"ГБОУ гимназия № 1567",2012
"Московская олимпиада","призёр",4,"Математика",2013,7,"ГБОУ ЦО № 57",2012
"Районная олимпиада","призёр",3,"Право",2018,9,"ГБОУ школа № 1502 при МЭИ",2017
"Московская олимпиада","призёр",4,"филология",2017,10,"ГБОУ школа № 224",2016
"Районная олимпиада","призёр",4,"Математика",2013,11,"ГБОУ гимназия № 1514",2012
"Московская олимпиада","призёр",3,"Математика",2013,8,"ГАОУ ВО МИОО. СОШ № 179",2012
"Всероссийская олимпиада","призёр",4,"Основы безопасности жизнедеятельности",2015,9,"ГБОУ школа № 2116",2014
"Всероссийская олимпиада","призёр",4,"Русский язык",2018,10,"ГБОУ Инженерно-техническая школа",2017
"Всероссийская олимпиада","призёр",4,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,9,"ГБОУ школа № 2007 ФМШ",2017
"Всероссийская олимпиада","призёр",3,"Обществознание",2016,9,"ФГБОУ ВО МГЛУ",2015
"Всероссийская олимпиада","призёр",5,"Русский язык",2020,10,"ГБОУ школа № 1296",2019
"Всероссийская олимпиада","призёр",4,"Русский язык",2017,11,"ГБОУ школа № 57",2016
"Районная олимпиада","призёр",3,"Математика",2020,11,"ГБОУ школа № 444",2019
"Всероссийская олимпиада","призёр",4,"Физика",2020,10,"ГБОУ школа № 1329",2019
"Районная олимпиада","призёр",5,"Биология",2013,11,"ГБОУ СОШ № 1253",2012
"Московская олимпиада","победитель",4,"Экономика",2014,7,"ГБОУ СОШ № 240",2013
"Московская олимпиада","призёр",3,"предпринимательство",2013,10,"ГБОУ гимназия № 1518",2012
"Всероссийская олимпиада","призёр",5,"Математика",2020,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019
"Всероссийская олимпиада","победитель",5,"Иностранный язык (немецкий язык)",2020,11,"лицей НИУ ВШЭ",2019
"Районная олимпиада","призёр",4,"История",2018,10,"ГБОУ школа № 1394",2017
"Всероссийская олимпиада","призёр",5,"Биология",2014,10,"ГБОУ СОШ № 289",2013
"Всероссийская олимпиада","призёр",3,"Литература",2020,11,"лицей НИУ ВШЭ",2019
"Всероссийская олимпиада","призёр",5,"Мировая Художественная Культура (МХК)",2017,10,"ГБОУ школа «Интеллектуал»",2016
"Всероссийская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2018,10,"ГБОУ школа № 1449",2017
"Московская олимпиада","призёр",3,"Математика",2014,7,"ГБОУ СОШ № 1271",2013
"Московская олимпиада","призёр",4,"Экономика",2017,6,"ГАОУ «Гимназия № 1518»",2016
"Московская олимпиада","призёр",5,"Технология",2016,10,"ГБПОУ КАТ № 9",2015
"Московская олимпиада","призёр",4,"филология",2017,8,"ГБОУ школа № 117",2016
"Районная олимпиада","победитель",3,"Биология",2018,10,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017
"Всероссийская олимпиада","призёр",5,"Иностранный язык (французский язык)",2018,10,"ГБОУ школа № 38",2017
"Московская олимпиада","призёр",4,"Математика",2015,7,"ГБОУ гимназия № 1562",2014
"Московская олимпиада","призёр",3,"Право",2018,8,"ГБОУ школа № 2031",2017
"Московская олимпиада","победитель",3,"Изобразительное искусство",2016,7,"ГБОУ школа № 1034",2015
"Всероссийская олимпиада","призёр",5,"Информатика",2019,9,"ОАНО «Школа «ЛЕТОВО»",2018
"Всероссийская олимпиада","победитель",4,"Иностранный язык (французский язык)",2017,10,"ГБОУ лицей № 1535",2016
"Московская олимпиада","призёр",3,"Информатика",2014,9,"ГБОУ лицей № 1523",2013
"Всероссийская олимпиада","призёр",4,"Искусство (МХК)",2018,9,"ГБОУ школа № 2030",2017
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2019,11,"ГБОУ школа № 1535",2018
"Московская олимпиада","призёр",5,"Математика",2019,8,"ГБОУ школа № 444",2018
"Всероссийская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2019,11,"ГБОУ школа № 236",2018
"Всероссийская олимпиада","призёр",5,"Литература",2019,10,"ГБОУ школа № 1527",2018
"Всероссийская олимпиада","призёр",5,"Математика",2017,9,"ГБОУ гимназия № 1514",2016
"Всероссийская олимпиада","победитель",3,"Мировая Художественная Культура (МХК)",2017,10,"ГБОУ ГСГ",2016
"Всероссийская олимпиада","призёр",3,"История",2019,9,"ГБОУ школа № 1474",2018
"Московская олимпиада","призёр",5,"Изобразительное искусство",2015,10,"ГБОУ школа № 1285",2014
"Всероссийская олимпиада","призёр",4,"Обществознание",2015,9,"ГБОУ школа № 1248",2014
"Всероссийская олимпиада","призёр",3,"Физика",2015,9,"ГБОУ лицей «Вторая школа»",2014
"Московская олимпиада","призёр",4,"Изобразительное искусство",2015,6,"ГБОУ СОШ № 1955",2014
"Всероссийская олимпиада","призёр",3,"Иностранный язык (французский язык)",2019,10,"ГБОУ школа № 1231",2018
"Московская олимпиада","призёр",3,"Изобразительное искусство",2019,7,"ГБОУ школа № 1560",2018
"Всероссийская олимпиада","победитель",5,"Технология",2014,9,"ГБОУ школа № 293",2013
"Районная олимпиада","призёр",3,"История",2020,9,"ГБОУ школа № 7",2019
"Московская олимпиада","призёр",3,"Обществознание",2015,9,"ГБОУ школа № 630",2014
"Всероссийская олимпиада","призёр",3,"Химия",2017,10,"ГБОУ школа № 192",2016
"Московская олимпиада","победитель",5,"Технология",2015,5,"ГБОУ школа № 1223",2014
"Московская олимпиада","призёр",5,"Экономика",2015,8,"ОЧУ «Финансово-экономическая школа»",2014
"Московская олимпиада","призёр",5,"Физика",2013,11,"ГБОУ гимназия № 1534",2012
"Всероссийская олимпиада","призёр",4,"Биология",2016,11,"ГБОУ «Курчатовская школа»",2015
"Московская олимпиада","призёр",3,"Бюджетная грамотность",2019,5,"ГБОУ школа № 1557",2018
"Всероссийская олимпиада","призёр",5,"Физика",2020,10,"ГБОУ «Лицей «Вторая школа»",2019
"Московская олимпиада","победитель",4,"Физика",2014,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013
"Всероссийская олимпиада","победитель",4,"Химия",2018,11,"ГБОУ школа № 1568",2017
"Всероссийская олимпиада","призёр",5,"Химия",2020,11,"ГБОУ школа имени Маршала В.И. Чуйкова",2019
"Московская олимпиада","призёр",5,"Изобразительное искусство",2016,5,"ГБОУ школа № 152",2015
"Всероссийская олимпиада","призёр",4,"Обществознание",2020,11,"ГБОУ школа № 37",2019
"Московская олимпиада","победитель",3,"Изобразительное искусство",2017,7,"ГБОУ гимназия № 1540",2016
"Московская олимпиада","призёр",3,"Математика",2015,11,"ГБОУ лицей № 1501",2014
"Всероссийская олимпиада","победитель",3,"Физическая культура",2019,10,"ГБОУ школа № 1557",2018
"Московская олимпиада","победитель",3,"Экономика",2017,5,"ОЧУ «Финансово-экономическая школа»",2016
"Районная олимпиада","призёр",3,"Литература",2016,9,"ГБОУ школа № 1259 с углубленным изучением иностранных языков",2015
"Московская олимпиада","призёр",4,"География",2015,9,"ГБОУ школа № 2045",2014
"Московская олимпиада","призёр",5,"Экономика",2013,11,"ГБОУ ЦО № 2006",2012
"Московская олимпиада","призёр",5,"Математика",2019,8,"ОАНО «Школа «ЛЕТОВО»",2018
"Всероссийская олимпиада","призёр",4,"Физическая культура",2014,10,"ГБОУ лицей № 1557",2013
"Районная олимпиада","призёр",5,"Экономика",2017,11,"ГБОУ лицей № 1535",2016
"Всероссийская олимпиада","призёр",4,"Физическая культура",2017,9,"ГБОУ ЦО № 1816",2016
"Всероссийская олимпиада","призёр",5,"Иностранный язык (китайский язык)",2018,9,"ГАОУ школа № 548",2017
"Московская олимпиада","призёр",4,"Обществознание",2019,11,"ГБОУ школа № 1799",2018
"Всероссийская олимпиада","победитель",4,"Химия",2017,10,"ГБОУ школа № 1253",2016
"Всероссийская олимпиада","призёр",3,"Иностранный язык (французский язык)",2016,11,"ГБОУ школа № 1286",2015
"Районная олимпиада","призёр",5,"История",2014,11,"ГБОУ СОШ № 1223",2013
"Всероссийская олимпиада","призёр",4,"Обществознание",2020,11,"лицей НИУ ВШЭ",2019
"Всероссийская олимпиада","призёр",5,"Биология",2016,11,"ГБОУ гимназия № 1563",2015
"Районная олимпиада","победитель",4,"Иностранный язык (английский язык)",2015,10,"ГБОУ лицей № 1303",2014
"Всероссийская олимпиада","призёр",5,"География",2016,11,"ГБОУ лицей № 1547",2015
"Всероссийская олимпиада","призёр",3,"Мировая Художественная Культура (МХК)",2015,11,"ГБОУ МКЛ № 1310",2014
"Всероссийская олимпиада","призёр",5,"Физическая культура",2015,11,"ГБОУ лицей № 429 «Соколиная гора»",2014
"Всероссийская олимпиада","призёр",4,"Физика",2016,10,"ГАОУ ВО МИОО. СОШ № 179",2015
"Всероссийская олимпиада","призёр",4,"Литература",2020,11,"ГБОУ школа № 2109",2019
"Всероссийская олимпиада","призёр",5,"Физика",2016,9,"ГБОУ школа № 1329",2015
"Всероссийская олимпиада","призёр",5,"История",2018,11,"ГБОУ школа № 179",2017
"Всероссийская олимпиада","призёр",4,"Основы безопасности жизнедеятельности",2014,11,"ГБОУ СОШ № 324 «Жар-птица»",2013
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2020,9,"ГБОУ школа № 1580",2019
"Московская олимпиада","призёр",4,"Математика",2019,10,"СУНЦ МГУ",2018
"Всероссийская олимпиада","призёр",4,"История",2019,10,"лицей НИУ ВШЭ",2018
"Всероссийская олимпиада","призёр",4,"История",2015,10,"ГБОУ школа № 183",2014
"Московская олимпиада","призёр",4,"Математика",2015,6,"ГБОУ школа № 1329",2014
"Всероссийская олимпиада","призёр",4,"Математика",2019,10,"ГБОУ школа «Интеллектуал»",2018
"Московская олимпиада","призёр",5,"Математика",2017,8,"ГБОУ Физматшкола № 2007",2016
"Московская олимпиада","победитель",4,"Технология",2019,4,"ГБОУ школа № 185",2018
"Московская олимпиада","победитель",5,"Информатика",2014,9,"ГБОУ школа-интернат «Интеллектуал»",2013
"Всероссийская олимпиада","призёр",3,"Литература",2018,9,"ГБОУ школа № 806",2017
"Всероссийская олимпиада","победитель",5,"Информатика",2014,11,"ГБОУ ЦО № 218",2013
"Московская олимпиада","призёр",3,"Экономика",2019,8,"ГБОУ школа № 57",2018
"Всероссийская олимпиада","призёр",4,"Биология",2019,10,"МАОУ «Лицей города Троицка»",2018
"Всероссийская олимпиада","призёр",5,"Математика",2019,11,"ГБОУ школа № 179",2018
"Всероссийская олимпиада","призёр",3,"Литература",2016,9,"ГБОУ гимназия № 1514",2015
"Всероссийская олимпиада","призёр",3,"Экономика",2020,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019
"Всероссийская олимпиада","призёр",5,"Биология",2019,11,"ГБОУ школа № 57",2018
"Районная олимпиада","призёр",3,"Физика",2014,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013
"Московская олимпиада","призёр",4,"филология",2019,6,"ГБОУ школа № 152",2018
"Московская олимпиада","призёр",4,"филология",2017,6,"ГБОУ лицей № 1568",2016
"Всероссийская олимпиада","победитель",4,"Право",2018,10,"ГБОУ школа № 2036",2017
"Московская олимпиада","призёр",3,"Физика",2014,11,"ГБОУ СОШ № 1840",2013
"Всероссийская олимпиада","призёр",5,"История",2020,9,"ГБОУ школа «Свиблово»",2019
"Всероссийская олимпиада","призёр",5,"Физика",2014,11,"ГБОУ лицей № 1581",2013
"Всероссийская олимпиада","призёр",3,"Информатика",2019,9,"ГБОУ школа № 2007 ФМШ",2018
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2018,9,"ГБОУ школа № 1270",2017
"Всероссийская олимпиада","призёр",3,"Обществознание",2016,11,"ГБОУ лицей № 1525 «Красносельский»",2015
"Районная олимпиада","призёр",3,"Иностранный язык (английский язык)",2016,11,"ГБОУ «Школа-интернат «Интеллектуал»",2015
"Московская олимпиада","призёр",3,"филология",2016,11,"ГБОУ школа № 1252 имени Сервантеса",2015
"Всероссийская олимпиада","призёр",3,"Физика",2015,9,"ГБОУ лицей № 1580",2014
"Всероссийская олимпиада","призёр",3,"Русский язык",2020,11,"ГБОУ школа № 1525",2019
"Всероссийская олимпиада","призёр",3,"Физическая культура",2017,10,"ГБОУ школа № 1384 имени А.А. Леманского",2016
"Всероссийская олимпиада","призёр",5,"Иностранный язык (французский язык)",2015,10,"ГБОУ гимназия № 1530 «Школа Ломоносова»",2014
"Всероссийская олимпиада","призёр",5,"Русский язык",2020,10,"ГБОУ школа на проспекте Вернадского",2019
"Всероссийская олимпиада","призёр",3,"Информатика",2016,10,"ГБОУ школа № 2107",2015
"Всероссийская олимпиада","победитель",5,"Математика",2016,9,"ГАОУ ВО МИОО. СОШ № 179",2015
"Московская олимпиада","призёр",4,"Изобразительное искусство",2019,7,"ГБОУ школа № 879",2018
"Московская олимпиада","призёр",4,"Химия",2014,10,"ГБОУ школа-интернат «Интеллектуал»",2013
"Всероссийская олимпиада","победитель",5,"Информатика",2017,11,"ГБОУ школа № 1329",2016
"Всероссийская олимпиада","призёр",3,"Информатика",2019,10,"ГБОУ школа № 444",2018
"Всероссийская олимпиада","призёр",5,"Обществознание",2017,9,"ГБОУ гимназия № 1290",2016
"Районная олимпиада","призёр",5,"Право",2019,10,"университетская гимназия",2018
"Московская олимпиада","призёр",4,"Физика",2017,8,"ГБОУ лицей № 1568",2016
"Московская олимпиада","призёр",4,"астрономия",2014,9,"ГБОУ гимназия № 1534",2013
"Всероссийская олимпиада","призёр",5,"Экономика",2019,11,"ГБОУ школа «Интеллектуал»",2018
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2015,11,"ГБОУ гимназия № 1529",2014
"Московская олимпиада","победитель",3,"Основы безопасности жизнедеятельности",2019,8,"ГБОУ школа № 1449",2018
"Всероссийская олимпиада","призёр",3,"Экология",2013,11,"ГБОУ СОШ № 354 им. Д.М. Карбышева",2012
"Всероссийская олимпиада","призёр",4,"Биология",2017,11,"ГБОУ школа № 1959",2016
"Районная олимпиада","призёр",3,"Русский язык",2015,10,"ГБОУ ММГ",2014
"Московская олимпиада","призёр",5,"филология",2018,6,"ГБОУ школа № 1270",2017
"Московская олимпиада","победитель",5,"География",2018,10,"ГБОУ школа № 1501",2017
"Московская олимпиада","призёр",5,"Физика",2013,7,"ГБОУ Московская гимназия на Юго-Западе № 1543",2012
"Всероссийская олимпиада","призёр",4,"Обществознание",2016,9,"ГБОУ гимназия № 45",2015
"Московская олимпиада","призёр",3,"Технология",2016,6,"ГБОУ школа № 830",2015
"Всероссийская олимпиада","призёр",3,"Физика",2014,11,"ГБОУ СОШ № 1189",2013
"Московская олимпиада","призёр",5,"Математика",2018,10,"ГБОУ лицей «Вторая школа»",2017
"Московская олимпиада","призёр",4,"Технология",2017,6,"ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",2016
"Всероссийская олимпиада","призёр",4,"Обществознание",2015,11,"ГБОУ школа № 1265",2014
"Московская олимпиада","победитель",3,"Изобразительное искусство",2016,11,"ГБОУ школа № 2094",2015
"Московская олимпиада","призёр",4,"Экономика",2014,8,"ГБОУ гимназия № 1518",2013
"Всероссийская олимпиада","победитель",4,"Математика",2020,11,"ГБОУ «Лицей «Вторая школа»",2019
"Московская олимпиада","победитель",3,"Экономика",2019,9,"ГБОУ «Лицей «Вторая школа»",2018
"Всероссийская олимпиада","призёр",5,"Мировая Художественная Культура (МХК)",2019,11,"университетская гимназия",2018
"Всероссийская олимпиада","призёр",5,"История",2014,11,"ГБОУ центр образования № 46",2013
"Всероссийская олимпиада","победитель",5,"Иностранный язык (английский язык)",2015,11,"ГБОУ лицей № 1553 им. В. И. Вернадского",2014
"Районная олимпиада","призёр",3,"Физика",2016,9,"ГБОУ лицей «Вторая школа»",2015
"Всероссийская олимпиада","призёр",5,"Биология",2014,11,"ГБОУ гимназия № 1517",2013
"Всероссийская олимпиада","призёр",4,"Русский язык",2018,11,"ГБОУ школа № 1542",2017
"Московская олимпиада","призёр",4,"Биология",2013,7,"ГБОУ гимназия № 1505",2012
"Московская олимпиада","призёр",3,"предпринимательство",2013,11,"ГБОУ СОШ № 1040",2012
"Московская олимпиада","призёр",4,"Экономика",2018,10,"ГБОУ школа № 1514",2017
"Московская олимпиада","призёр",3,"Математика",2014,10,"ГБОУ ЦО № 57",2013
"Всероссийская олимпиада","призёр",5,"История",2019,9,"ГБОУ школа № 2086",2018
"Районная олимпиада","призёр",3,"Математика",2020,11,"ГБОУ школа № 1329",2019
"Московская олимпиада","призёр",3,"Информатика",2013,10,"ГБОУ школа-интернат «Интеллектуал»",2012
"Всероссийская олимпиада","победитель",5,"Право",2018,10,"ГАОУ школа № 1306 - «Школа молодых политиков»",2017
"Всероссийская олимпиада","призёр",4,"Литература",2020,11,"ГБОУ школа № 1252",2019
"Всероссийская олимпиада","победитель",5,"Обществознание",2017,11,"ГБОУ лицей № 1535",2016
"Районная олимпиада","призёр",4,"Обществознание",2014,11,"ГБОУ гимназия № 1576",2013
"Московская олимпиада","призёр",4,"Математика",2018,6,"ГБОУ школа № 1329",2017
"Московская олимпиада","призёр",5,"Математика",2015,7,"ГБОУ «Гимназия № 1528»",2014
"Московская олимпиада","победитель",5,"Технология",2018,5,"ГБОУ школа № 1576",2017
"Всероссийская олимпиада","призёр",3,"Обществознание",2020,9,"ГБОУ школа № 1367",2019
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2017,10,"ГБОУ гимназия № 1520 им. Капцовых",2016
"Районная олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2016,9,"ГБОУ школа № 1252 имени Сервантеса",2015
"Всероссийская олимпиада","призёр",5,"Математика",2018,10,"ГБОУ лицей «Вторая школа»",2017
"Московская олимпиада","победитель",3,"Химия",2016,8,"ГБОУ лицей № 1568",2015
"Районная олимпиада","призёр",5,"астрономия",2015,9,"ГБОУ СОШ № 1874",2014
"Всероссийская олимпиада","призёр",3,"Литература",2018,10,"ГБОУ школа № 1905",2017
"Всероссийская олимпиада","призёр",4,"Право",2020,9,"ГБОУ школа № 1541",2019
"Всероссийская олимпиада","призёр",5,"Право",2016,9,"ГБОУ школа № 1317",2015
"Всероссийская олимпиада","победитель",4,"Иностранный язык (английский язык)",2015,10,"ГБОУ школа № 1319",2014
"Московская олимпиада","призёр",5,"филология",2018,7,"ГБОУ школа № 1575",2017
"Всероссийская олимпиада","призёр",3,"Иностранный язык (французский язык)",2016,10,"ГБОУ школа № 1231",2015
"Всероссийская олимпиада","призёр",3,"Русский язык",2019,10,"ГБОУ школа № 1018",2018
"Всероссийская олимпиада","призёр",3,"Физика",2013,10,"ГБОУ школа № 853",2012
"Районная олимпиада","призёр",3,"Биология",2016,10,"ГБОУ школа № 1285",2015
"Всероссийская олимпиада","призёр",5,"Иностранный язык (французский язык)",2018,11,"ОЧУ Лингвистическая школа",2017
"Всероссийская олимпиада","призёр",5,"Физическая культура",2016,10,"ГБОУ школа № 51",2015
"Районная олимпиада","призёр",5,"Иностранный язык (испанский язык)",2016,10,"ГБОУ гимназия № 1558 имени Росалии де Кастро",2015
"Всероссийская олимпиада","призёр",4,"Химия",2020,9,"ГБОУ школа имени Маршала В.И. Чуйкова",2019
"Московская олимпиада","победитель",5,"Обществознание",2018,10,"ГБОУ школа № 1535",2017
"Всероссийская олимпиада","призёр",5,"География",2016,9,"ГБОУ школа № 1293",2015
"Всероссийская олимпиада","призёр",5,"Физика",2016,10,"ГАОУ ВО МИОО. СОШ № 179",2015
"Московская олимпиада","победитель",5,"Физика",2019,8,"ГБОУ школа № 185",2018
"Всероссийская олимпиада","призёр",5,"Иностранный язык (китайский язык)",2020,9,"ГАОУ школа № 1306 - «Школа молодых политиков»",2019
"Всероссийская олимпиада","победитель",3,"Иностранный язык (французский язык)",2018,11,"ГБОУ школа № 1535",2017
"Районная олимпиада","призёр",5,"Физика",2015,9,"ГБОУ школа № 444",2014
"Районная олимпиада","призёр",4,"Информатика",2014,9,"ГБОУ ЦО № 218",2013
"Всероссийская олимпиада","призёр",4,"Мировая Художественная Культура (МХК)",2014,9,"ГБОУ школа № 2075",2013
"Московская олимпиада","призёр",4,"Изобразительное искусство",2017,7,"ГБОУ школа № 1955",2016
"Всероссийская олимпиада","призёр",3,"Мировая Художественная Культура (МХК)",2016,9,"ГБОУ «Школа-интернат «Интеллектуал»",2015
"Московская олимпиада","призёр",5,"Изобразительное искусство",2015,8,"ГБОУ СОШ № 1955",2014
"Московская олимпиада","призёр",3,"Иностранный язык (французский язык)",2019,7,"ГБОУ школа № 1288",2018
"Московская олимпиада","призёр",5,"Информатика",2013,10,"ГАОУ ВО МИОО. СОШ № 179",2012
"Районная олимпиада","призёр",5,"Экономика",2019,10,"ГБОУ школа № 67",2018
"Московская олимпиада","призёр",3,"Робототехника",2017,5,"ГБОУ школа № 1103",2016
"Всероссийская олимпиада","призёр",4,"История",2014,11,"ГБОУ СОШ № 444",2013
"Всероссийская олимпиада","призёр",5,"Физика",2019,9,"ГБОУ «Лицей «Вторая школа»",2018
"Всероссийская олимпиада","призёр",4,"Право",2014,9,"ГБОУ гимназия № 1504",2013
"Всероссийская олимпиада","призёр",4,"Обществознание",2014,11,"ГБОУ лицей № 1523",2013
"Всероссийская олимпиада","призёр",4,"Литература",2020,11,"ГБОУ школа № 1440",2019
"Всероссийская олимпиада","призёр",3,"Русский язык",2016,9,"ГБОУ лицей № 1581",2015
"Московская олимпиада","призёр",5,"Математика",2014,7,"ГБОУ гимназия № 1514",2013
"Районная олимпиада","призёр",4,"Литература",2020,9,"ГБОУ школа № 2097",2019
"Московская олимпиада","победитель",3,"Изобразительное искусство",2016,9,"ГБОУ школа № 1150 имени Героя Советского Союза К.К. Рокоссовского",2015
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2014,11,"ГБОУ СОШ № 1256",2013
"Районная олимпиада","победитель",5,"Литература",2017,9,"ГБОУ Московская гимназия на Юго-Западе № 1543",2016
"Всероссийская олимпиада","призёр",5,"Физическая культура",2017,10,"ГБОУ ЦО № 1816",2016
"Всероссийская олимпиада","призёр",5,"Экология",2017,10,"ГБОУ школа № 171",2016
"Всероссийская олимпиада","призёр",4,"Физика",2017,10,"Предуниверситарий НИЯУ МИФИ",2016
"Всероссийская олимпиада","призёр",5,"Обществознание",2018,11,"ГБОУ школа № 1797",2017
"Районная олимпиада","призёр",5,"Литература",2019,9,"ГБОУ школа № 2031",2018
"Всероссийская олимпиада","призёр",5,"Информатика",2019,10,"ГБОУ школа № 171",2018
"Московская олимпиада","призёр",3,"Математика",2018,7,"ГБОУ школа № 1329",2017
"Всероссийская олимпиада","призёр",5,"Обществознание",2016,10,"НИУ ВШЭ. лицей",2015
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2015,11,"ГБОУ школа № 2123 им. М. Эрнандеса",2014
