"OlympiadType","TeamSize","ShortName","Year_begin","Subject","Year_end","Status","Class"
"Всероссийская олимпиада",4,"ФГКОУ «МКК ПВ МО РФ»",2018,"Обществознание",2019,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ Физматшкола 2007",2013,"Информатика",2014,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1567",2016,"История",2017,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа им. А. Боровика",2019,"География",2020,"призёр",9
"Московская олимпиада",4,"ГБОУ СОШ № 1905",2012,"предпринимательство",2013,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1315",2016,"Русский язык",2017,"призёр",11
"Всероссийская олимпиада",4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,"Биология",2016,"призёр",11
"Московская олимпиада",3,"ГБОУ гимназия № 1290",2016,"География",2017,"победитель",6
"Московская олимпиада",4,"ГБОУ школа № 830",2016,"филология",2017,"призёр",5
"Всероссийская олимпиада",5,"ГБОУ школа № 345",2018,"Основы безопасности жизнедеятельности",2019,"призёр",11
"Московская олимпиада",5,"ГБОУ лицей № 1451",2012,"Экономика",2013,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 717",2018,"Право",2019,"призёр",8
"Всероссийская олимпиада",3,"ГБОУ школа № 192",2018,"Биология",2019,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1353",2013,"История",2014,"призёр",6
"Районная олимпиада",4,"ГБОУ СОШ № 192",2012,"Биология",2013,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 1252",2017,"филология",2018,"призёр",5
"Всероссийская олимпиада",5,"ГБОУ школа № 2026",2019,"Основы безопасности жизнедеятельности",2020,"победитель",11
"Московская олимпиада",3,"ГБОУ КШИ № 9",2014,"Изобразительное искусство",2015,"призёр",7
"Московская олимпиада",3,"ГБОУ ЦО № 218",2012,"филология",2013,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1296",2019,"Иностранный язык (английский язык)",2020,"призёр",6
"Московская олимпиада",3,"ГБОУ школа № 2123 им. М. Эрнандеса",2018,"филология",2019,"призёр",5
"Всероссийская олимпиада",3,"ГБОУ ЦО № 57",2014,"Литература",2015,"призёр",10
"Московская олимпиада",4,"ГБОУ СОШ № 1383",2013,"Экономика",2014,"призёр",4
"Районная олимпиада",5,"ГБОУ школа № 57",2015,"Математика",2016,"призёр",11
"Районная олимпиада",5,"ГБОУ «Школа-интернат «Интеллектуал»",2015,"Обществознание",2016,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1567",2012,"Литература",2013,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 1507",2018,"Технология",2019,"призёр",11
"Московская олимпиада",3,"лицей НИУ ВШЭ",2018,"Обществознание",2019,"призёр",11
"Районная олимпиада",3,"ГБОУ школа № 854",2018,"Биология",2019,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 171",2015,"Химия",2016,"призёр",11
"Московская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2013,"Химия",2014,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1567",2012,"Физика",2013,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 224",2017,"филология",2018,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1290",2013,"География",2014,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 57",2018,"Физика",2019,"призёр",9
"Районная олимпиада",3,"ГБОУ школа № 1366",2017,"Литература",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ ЦО № 57",2014,"Химия",2015,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ лицей № 1571",2013,"Право",2014,"призёр",10
"Районная олимпиада",4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"Математика",2020,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,"Математика",2014,"призёр",11
"Московская олимпиада",5,"ГБОУ Физматшкола № 2007",2016,"Физика",2017,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ гимназия Марьина Роща имени В.Ф. Орлова",2016,"Право",2017,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1252 имени Сервантеса",2016,"Литература",2017,"призёр",10
"Районная олимпиада",5,"ГБОУ СОШ № 1287",2013,"Иностранный язык (английский язык)",2014,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 2007 ФМШ",2017,"Математика",2018,"призёр",7
"Всероссийская олимпиада",5,"МАОУ «Лицей города Троицка»",2014,"Литература",2015,"призёр",11
"Московская олимпиада",4,"ГБОУ лицей № 1580",2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"победитель",11
"Московская олимпиада",3,"ГБОУ школа № 57",2018,"Математика",2019,"призёр",11
"Всероссийская олимпиада",4,"ГАОУ ВО МИОО. СОШ № 179",2014,"Математика",2015,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1499",2015,"Право",2016,"призёр",11
"Районная олимпиада",5,"ГБОУ школа № 1980",2018,"Технология",2019,"призёр",10
"Районная олимпиада",5,"ГБОУ лицей № 1535",2013,"Обществознание",2014,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 57",2017,"Математика",2018,"призёр",8
"Районная олимпиада",4,"ГБОУ «Школа-интернат «Интеллектуал»",2014,"Русский язык",2015,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1273",2018,"филология",2019,"призёр",11
"Районная олимпиада",4,"ГБОУ школа № 91",2015,"История",2016,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ лицей № 1535",2014,"Биология",2015,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1583",2014,"Литература",2015,"призёр",10
"Районная олимпиада",3,"ГБОУ Физматшкола № 2007",2016,"Информатика",2017,"призёр",10
"Московская олимпиада",5,"ГОУ СОШ № 91 Российской академии образования",2013,"астрономия",2014,"призёр",6
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1529",2015,"История",2016,"призёр",11
"Всероссийская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2015,"Информатика",2016,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1557",2018,"Математика",2019,"призёр",7
"Московская олимпиада",5,"ГБОУ школа № 1944",2018,"История",2019,"призёр",6
"Московская олимпиада",4,"ГБОУ гимназия № 1562",2016,"Экономика",2017,"призёр",5
"Районная олимпиада",3,"ГБОУ школа № 2065",2014,"Физическая культура",2015,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1376",2016,"Право",2017,"призёр",10
"Московская олимпиада",4,"ГБОУ СОШ № 1189",2012,"Физика",2013,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 57",2015,"Литература",2016,"призёр",9
"Московская олимпиада",4,"ГБОУ ЦО № 1408",2012,"Изобразительное искусство",2013,"призёр",3
"Московская олимпиада",3,"ГБОУ школа № 1252",2018,"филология",2019,"призёр",5
"Всероссийская олимпиада",5,"ГБОУ Инженерно-техническая школа",2018,"Русский язык",2019,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 2007 ФМШ",2017,"Физика",2018,"призёр",8
"Московская олимпиада",4,"ГБОУ школа № 57",2015,"Математика",2016,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 368 «Лосиный остров»",2019,"Мировая Художественная Культура (МХК)",2020,"призёр",9
"Районная олимпиада",4,"ГБОУ лицей № 1568",2014,"Биология",2015,"призёр",10
"Районная олимпиада",3,"ГБОУ лицей № 1793",2016,"История",2017,"призёр",10
"Всероссийская олимпиада",5,"НИУ ВШЭ. лицей",2015,"Экономика",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 171",2018,"Экология",2019,"призёр",9
"Всероссийская олимпиада",5,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"Литература",2018,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1474",2018,"Русский язык",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1568",2018,"Иностранный язык (испанский язык)",2019,"победитель",11
"Московская олимпиада",5,"ГАОУ ЦО № 548",2014,"Изобразительное искусство",2015,"победитель",10
"Московская олимпиада",5,"НОУ ЦО «Школа Сотрудничества»",2013,"Изобразительное искусство",2014,"победитель",7
"Московская олимпиада",4,"ГБОУ школа имени Маршала В.И. Чуйкова",2018,"Изобразительное искусство",2019,"победитель",8
"Всероссийская олимпиада",4,"ГБОУ школа № 2036",2016,"Обществознание",2017,"призёр",11
"Московская олимпиада",5,"ГАОУ ВПО МИОО. СОШ № 179",2016,"Математика",2017,"призёр",7
"Московская олимпиада",3,"ГБОУ школа № 1413",2018,"История",2019,"призёр",6
"Районная олимпиада",5,"ГБОУ лицей № 1502 при МЭИ",2015,"Физическая культура",2016,"призёр",9
"Московская олимпиада",5,"ГБОУ школа-интернат «Интеллектуал»",2013,"Информатика",2014,"победитель",9
"Всероссийская олимпиада",5,"ГБОУ школа № 338",2019,"Иностранный язык (французский язык)",2020,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 1583",2018,"Биология",2019,"призёр",7
"Московская олимпиада",3,"ГБОУ школа № 57",2017,"Математика",2018,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ ЦО № 1449",2015,"Основы безопасности жизнедеятельности",2016,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 2094",2016,"Биология",2017,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 1247",2016,"История",2017,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 814",2017,"Технология",2018,"победитель",7
"Московская олимпиада",4,"ГБОУ школа «Интеграл»",2018,"филология",2019,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 109",2015,"Мировая Художественная Культура (МХК)",2016,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ лицей № 1535",2013,"Химия",2014,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 57",2015,"Математика",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1324",2016,"История",2017,"призёр",10
"Районная олимпиада",4,"ГБОУ школа № 1223",2017,"Иностранный язык (английский язык)",2018,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1476",2018,"Экология",2019,"призёр",5
"Всероссийская олимпиада",5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,"астрономия",2016,"призёр",10
"Районная олимпиада",4,"ГБОУ школа № 1507",2019,"Экономика",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 2121",2017,"Технология",2018,"призёр",5
"Всероссийская олимпиада",4,"ГБОУ школа № 1329",2015,"Физика",2016,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ лицей № 1303",2013,"Химия",2014,"победитель",11
"Московская олимпиада",4,"ГБОУ «Курчатовская школа»",2015,"Математика",2016,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 171",2013,"Экология",2014,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 57",2018,"Физика",2019,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1161",2017,"Основы безопасности жизнедеятельности",2018,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ Инженерно-техническая школа",2019,"Литература",2020,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1285",2015,"Право",2016,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 402 имени Алии Молдагуловой",2017,"География",2018,"победитель",9
"Всероссийская олимпиада",4,"ГБОУ лицей № 1580",2015,"Физика",2016,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 2054",2017,"Изобразительное искусство",2018,"победитель",11
"Московская олимпиада",5,"ГБОУ школа № 1575",2017,"астрономия",2018,"призёр",6
"Всероссийская олимпиада",3,"ГБОУ школа № 324",2015,"Иностранный язык (английский язык)",2016,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 2097",2015,"филология",2016,"призёр",9
"Районная олимпиада",4,"ГАОУ «Школа № 1518»",2019,"Экология",2020,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1324",2019,"Право",2020,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ школа № 1231",2016,"Иностранный язык (французский язык)",2017,"победитель",11
"Районная олимпиада",5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"Физика",2014,"призёр",11
"Московская олимпиада",4,"ГБОУ лицей № 1568",2016,"География",2017,"призёр",7
"Всероссийская олимпиада",3,"ГБОУ школа № 1547",2018,"Физика",2019,"призёр",10
"Районная олимпиада",4,"ГБОУ школа № 1018",2019,"Биология",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1541",2019,"Право",2020,"победитель",10
"Всероссийская олимпиада",3,"ГБОУ школа № 2083",2016,"Физическая культура",2017,"призёр",9
"Всероссийская олимпиада",3,"АНО «ОШ центра педагогического мастерства»",2019,"Экономика",2020,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 710",2018,"Иностранный язык (итальянский язык)",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ лицей № 1303",2014,"Физика",2015,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 498",2014,"Основы безопасности жизнедеятельности",2015,"победитель",9
"Районная олимпиада",5,"ГБОУ школа № 1252",2019,"Основы безопасности жизнедеятельности",2020,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ ЦО № 218",2012,"Физика",2013,"призёр",10
"Всероссийская олимпиада",3,"лицей НИУ ВШЭ",2018,"Обществознание",2019,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 1568",2017,"Химия",2018,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 293",2017,"Технология",2018,"призёр",5
"Всероссийская олимпиада",3,"ГБОУ ЦО № 1329",2012,"Математика",2013,"призёр",9
"Районная олимпиада",4,"ГАОУ ЦО № 548",2016,"Мировая Художественная Культура (МХК)",2017,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 1252 имени Сервантеса",2013,"филология",2014,"призёр",6
"Московская олимпиада",4,"ГБОУ школа № 2007 ФМШ",2017,"Экономика",2018,"призёр",7
"Районная олимпиада",5,"ГБОУ школа № 293",2016,"Технология",2017,"призёр",10
"Районная олимпиада",5,"ГБОУ школа № 1557",2018,"Физика",2019,"призёр",9
"Московская олимпиада",3,"ГБОУ СОШ № 56",2014,"География",2015,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа «Интеллектуал»",2019,"Информатика",2020,"победитель",9
"Всероссийская олимпиада",4,"ГБОУ школа «Свиблово»",2018,"Русский язык",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2017,"Иностранный язык (французский язык)",2018,"призёр",10
"Московская олимпиада",5,"ГБОУ ЦО № 1430",2012,"Технология",2013,"победитель",6
"Московская олимпиада",4,"ГБОУ гимназия № 1518",2012,"История",2013,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 2031",2015,"История",2016,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1353",2012,"Русский язык",2013,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ лицей № 1574",2015,"Биология",2016,"призёр",11
"Московская олимпиада",5,"ГБОУ гимназия № 1534",2012,"Математика",2013,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ Московская гимназия на Юго-Западе № 1543",2016,"Информатика",2017,"призёр",9
"Московская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2015,"Математика",2016,"призёр",8
"Московская олимпиада",4,"ГБОУ школа № 648",2018,"филология",2019,"призёр",7
"Всероссийская олимпиада",3,"СУНЦ МГУ",2018,"Математика",2019,"призёр",11
"Всероссийская олимпиада",5,"АНО «ОШ центра педагогического мастерства»",2019,"Экономика",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ ЦО № 1462",2012,"Физическая культура",2013,"призёр",11
"Районная олимпиада",3,"ГКОУ КШИ № 1",2017,"Основы безопасности жизнедеятельности",2018,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1434",2018,"История",2019,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1374",2015,"Изобразительное искусство",2016,"победитель",6
"Всероссийская олимпиада",4,"ГБОУ школа № 1297",2019,"Обществознание",2020,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1569 «Созвездие»",2019,"Иностранный язык (испанский язык)",2020,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 2036",2018,"Основы безопасности жизнедеятельности",2019,"призёр",7
"Всероссийская олимпиада",4,"ГБОУ школа № 2007 ФМШ",2019,"Физика",2020,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1298 «Профиль Куркино»",2017,"Изобразительное искусство",2018,"победитель",5
"Московская олимпиада",4,"ГБОУ лицей «Вторая школа»",2013,"Математика",2014,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1512",2016,"Мировая Художественная Культура (МХК)",2017,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1595",2016,"История",2017,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ ЦО № 1601",2013,"Биология",2014,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1517",2018,"Иностранный язык (английский язык)",2019,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1285",2017,"Право",2018,"призёр",9
"Московская олимпиада",3,"ГАОУ ЦО № 548",2014,"Изобразительное искусство",2015,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 1980",2018,"Изобразительное искусство",2019,"победитель",5
"Всероссийская олимпиада",3,"ГБОУ школа № 171",2016,"Иностранный язык (английский язык)",2017,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 2127",2016,"Право",2017,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 293",2014,"Литература",2015,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1980",2015,"Экология",2016,"победитель",9
"Всероссийская олимпиада",4,"ГБОУ «Школа-интернат «Интеллектуал»",2015,"Экономика",2016,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1249",2015,"Русский язык",2016,"призёр",11
"Районная олимпиада",4,"ГБОУ школа № 2007 ФМШ",2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 1492",2015,"Технология",2016,"призёр",6
"Районная олимпиада",4,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"История",2015,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1912",2018,"Физическая культура",2019,"победитель",10
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1143",2013,"Мировая Художественная Культура (МХК)",2014,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ «Лицей «Вторая школа»",2018,"Физика",2019,"призёр",9
"Всероссийская олимпиада",5,"МАОУ «Гимназия имени Н.В. Пушкова»",2015,"Экология",2016,"призёр",9
"Московская олимпиада",5,"ГБОУ гимназия № 1514",2012,"Математика",2013,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1507",2013,"Технология",2014,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1948",2018,"Математика",2019,"призёр",6
"Районная олимпиада",3,"ГБОУ гимназия № 1583",2013,"Русский язык",2014,"призёр",11
"Районная олимпиада",4,"ГБОУ школа № 57",2015,"Информатика",2016,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1228",2016,"Иностранный язык (английский язык)",2017,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1257",2017,"Обществознание",2018,"призёр",9
"Районная олимпиада",5,"АНО «ОШ центра педагогического мастерства»",2019,"астрономия",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ Физматшкола 2007",2014,"Физика",2015,"призёр",11
"Московская олимпиада",3,"ГБОУ Физматшкола № 2007",2016,"Информатика",2017,"призёр",9
"Районная олимпиада",3,"ГБОУ СОШ № 1113",2013,"Мировая Художественная Культура (МХК)",2014,"призёр",11
"Районная олимпиада",4,"ГБОУ лицей № 1303",2014,"Биология",2015,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2018,"История",2019,"победитель",11
"Районная олимпиада",5,"ГБОУ гимназия № 1514",2012,"Математика",2013,"призёр",11
"Московская олимпиада",3,"ГБОУ ММГ",2015,"История",2016,"призёр",10
"Всероссийская олимпиада",5,"ГКОУ КШИ № 11",2017,"Русский язык",2018,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1567",2012,"Химия",2013,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 444",2019,"Физика",2020,"призёр",10
"Районная олимпиада",5,"ГБОУ гимназия № 1522",2014,"Русский язык",2015,"призёр",10
"Районная олимпиада",4,"ГБОУ гимназия № 1529",2017,"Иностранный язык (английский язык)",2018,"победитель",10
"Московская олимпиада",3,"ГБОУ Физматшкола № 2007",2015,"Информатика",2016,"победитель",10
"Московская олимпиада",3,"ГБОУ гимназия «Свиблово»",2016,"Изобразительное искусство",2017,"призёр",5
"Всероссийская олимпиада",4,"ГБОУ школа № 1376",2017,"Литература",2018,"победитель",9
"Московская олимпиада",5,"ГБОУ школа им. А. Боровика",2018,"Обществознание",2019,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 763",2017,"Робототехника",2018,"призёр",5
"Всероссийская олимпиада",4,"ГБОУ школа № 1249",2018,"Иностранный язык (немецкий язык)",2019,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 2097",2018,"филология",2019,"призёр",5
"Московская олимпиада",4,"ГБОУ лицей № 1533",2016,"Экономика",2017,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1476",2017,"Основы безопасности жизнедеятельности",2018,"призёр",9
"Районная олимпиада",5,"ГБОУ школа № 1329",2015,"Иностранный язык (немецкий язык)",2016,"призёр",11
"Московская олимпиада",4,"ГБОУ гимназия № 1257",2012,"Экономика",2013,"призёр",10
"Всероссийская олимпиада",5,"НИУ ВШЭ. лицей",2016,"Экономика",2017,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1252",2019,"Основы безопасности жизнедеятельности",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1249",2019,"Русский язык",2020,"победитель",9
"Всероссийская олимпиада",5,"НИУ ВШЭ. лицей",2015,"Иностранный язык (английский язык)",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 853",2014,"Химия",2015,"призёр",10
"Всероссийская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2014,"Биология",2015,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 1522 имени В.И. Чуркина",2018,"История",2019,"призёр",9
"Московская олимпиада",4,"СУНЦ МГУ",2016,"Физика",2017,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 654 имени А.Д. Фридмана",2017,"Литература",2018,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 2123 им. М. Эрнандеса",2016,"Иностранный язык (испанский язык)",2017,"призёр",10
"Московская олимпиада",3,"ГБОУ лицей № 1574",2014,"Химия",2015,"призёр",11
"Всероссийская олимпиада",5,"СУНЦ МГУ",2018,"Биология",2019,"победитель",11
"Всероссийская олимпиада",4,"ГБОУ лицей № 1501",2014,"Биология",2015,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 7",2018,"Русский язык",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ лицей «Вторая школа»",2013,"Физика",2014,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 179",2017,"Физика",2018,"призёр",10
"Всероссийская олимпиада",3,"ГАОУ ВО МИОО. СОШ № 179",2014,"Информатика",2015,"призёр",8
"Всероссийская олимпиада",3,"ГБОУ СОШ № 1208",2012,"Иностранный язык (английский язык)",2013,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1955",2015,"Физическая культура",2016,"призёр",10
"Московская олимпиада",5,"ГБОУ ГСГ",2015,"Математика",2016,"призёр",7
"Московская олимпиада",4,"ГБОУ лицей № 138",2016,"Обществознание",2017,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1576",2014,"Литература",2015,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 717",2013,"Литература",2014,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 2101",2019,"Физика",2020,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ «Московская международная школа»",2019,"Иностранный язык (немецкий язык)",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ школа в Капотне",2018,"Химия",2019,"призёр",8
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1207",2012,"Иностранный язык (английский язык)",2013,"призёр",11
"Московская олимпиада",4,"ГБОУ СОШ № 1416",2012,"Изобразительное искусство",2013,"победитель",7
"Районная олимпиада",3,"ГБОУ лицей № 1535",2013,"Биология",2014,"призёр",11
"Московская олимпиада",4,"ГБОУ СОШ № 509",2012,"предпринимательство",2013,"призёр",10
"Московская олимпиада",5,"ГБОУ лицей № 1575",2014,"филология",2015,"победитель",10
"Всероссийская олимпиада",4,"ГБОУ школа на проспекте Вернадского",2018,"Русский язык",2019,"победитель",9
"Всероссийская олимпиада",3,"ГБОУ ЛГК на Юго-Востоке",2016,"Химия",2017,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1573",2013,"Литература",2014,"призёр",10
"Всероссийская олимпиада",5,"университетская гимназия",2018,"Экология",2019,"призёр",10
"Районная олимпиада",5,"ГБОУ школа № 1371 «Крылатское»",2017,"Иностранный язык (французский язык)",2018,"призёр",11
"Всероссийская олимпиада",4,"НИУ ВШЭ. лицей",2015,"Обществознание",2016,"победитель",11
"Районная олимпиада",4,"ГБОУ школа № 1270",2018,"Литература",2019,"призёр",9
"Всероссийская олимпиада",4,"ОАНО «Школа «ЛЕТОВО»",2018,"Математика",2019,"призёр",9
"Районная олимпиада",3,"ГБОУ «Лицей «Вторая школа»",2019,"Экономика",2020,"призёр",10
"Московская олимпиада",4,"ГБОУ лицей № 1502 при МЭИ",2015,"Математика",2016,"призёр",7
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1358",2014,"История",2015,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1468",2018,"Иностранный язык (французский язык)",2019,"призёр",10
"Районная олимпиада",3,"ГБОУ ЦО № 1071",2013,"Обществознание",2014,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ лицей «Вторая школа»",2014,"астрономия",2015,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ лицей № 1303",2012,"Химия",2013,"призёр",9
"Московская олимпиада",4,"ГБОУ школа № 2097",2018,"Изобразительное искусство",2019,"призёр",6
"Всероссийская олимпиада",4,"НИУ ВШЭ. лицей",2016,"Экономика",2017,"победитель",11
"Московская олимпиада",4,"ГБОУ лицей № 1575",2015,"филология",2016,"призёр",9
"Московская олимпиада",4,"ГБОУ ЦО № 57",2013,"Математика",2014,"призёр",5
"Московская олимпиада",5,"ГБОУ ЦО № 1601",2012,"филология",2013,"призёр",7
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,"Обществознание",2016,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1571",2018,"Обществознание",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1236",2013,"Обществознание",2014,"призёр",11
