"ShortName","Year_end","TeamSize","Year_begin","Subject","Status","Class","OlympiadType"
"ГБОУ СОШ № 2008",2014,4,2013,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1583",2014,3,2013,"Экономика","призёр",4,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»",2018,5,2017,"Математика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1287",2018,5,2017,"Право","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1265",2015,3,2014,"филология","призёр",5,"Московская олимпиада"
"ГАОУ ЦО № 548",2017,4,2016,"Изобразительное искусство","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1253",2015,5,2014,"Иностранный язык (немецкий язык)","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1125",2019,4,2018,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2015,5,2014,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1150 имени Героя Советского Союза К.К. Рокоссовского",2013,5,2012,"Изобразительное искусство","призёр",8,"Московская олимпиада"
"ГБОУ школа № 2036",2018,3,2017,"Технология","призёр",9,"Всероссийская олимпиада"
"университетская гимназия",2019,5,2018,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2018,4,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1980",2018,4,2017,"Физическая культура","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1748",2018,3,2017,"Технология","призёр",5,"Московская олимпиада"
"ГБОУ школа № 1535",2018,4,2017,"Литература","победитель",9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2015,5,2014,"Физика","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 224",2015,5,2014,"Химия","призёр",8,"Московская олимпиада"
"ГБОУ школа № 57",2016,4,2015,"Экономика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 218",2018,4,2017,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1352",2017,3,2016,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1253",2013,5,2012,"Химия","призёр",11,"Московская олимпиада"
"ГБОУ ЦО № 1858",2016,3,2015,"Экология","призёр",9,"Всероссийская олимпиада"
"ГБОУ СОШ № 2104 «Школа на Таганке»",2015,5,2014,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ «Школа Глория»",2018,4,2017,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1416",2017,4,2016,"Изобразительное искусство","победитель",8,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»",2017,4,2016,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2015,4,2014,"Математика","призёр",11,"Московская олимпиада"
"ГБОУ школа № 57",2019,4,2018,"Экономика","призёр",9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2015,5,2014,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1571",2018,5,2017,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 218",2016,3,2015,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1208",2018,4,2017,"Технология","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1507",2018,4,2017,"История","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1527",2016,3,2015,"Биология","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1249",2020,3,2019,"Русский язык","призёр",9,"Районная олимпиада"
"ГБОУ гимназия № 1514",2014,3,2013,"История","призёр",10,"Всероссийская олимпиада"
"МАОУ «Гимназия г. Троицка»",2020,3,2019,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1547",2014,5,2013,"Мировая Художественная Культура (МХК)","призёр",9,"Районная олимпиада"
"ОАНО школа «Ника»",2017,4,2016,"Право","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1546 «Плехановец»",2014,3,2013,"Экономика","призёр",11,"Районная олимпиада"
"ГБОУ лицей «Вторая школа»",2017,3,2016,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ школа № 814",2018,3,2017,"География","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1533",2016,4,2015,"Иностранный язык (английский язык)","призёр",11,"Районная олимпиада"
"ГБОУ лицей № 1524",2017,5,2016,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1567",2016,4,2015,"Физика","призёр",9,"Районная олимпиада"
"ГБОУ школа № 1861 «Загорье»",2017,5,2016,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1329",2019,5,2018,"Физика","победитель",8,"Московская олимпиада"
"ГБОУ гимназия № 1514",2016,4,2015,"Литература","призёр",9,"Всероссийская олимпиада"
"ГАОУ школа № 548",2019,3,2018,"Русский язык","призёр",9,"Районная олимпиада"
"ГБОУ школа № 2090",2017,4,2016,"Право","победитель",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514",2017,5,2016,"Математика","призёр",11,"Московская олимпиада"
"ГБОУ СОШ № 1259",2014,3,2013,"Изобразительное искусство","призёр",2,"Московская олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2014,5,2013,"Биология","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа имени Маяковского",2019,4,2018,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1573",2019,5,2018,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 218",2015,5,2014,"Информатика","призёр",9,"Всероссийская олимпиада"
"ГБОУ Инженерно-техническая школа",2019,3,2018,"Экология","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 179",2018,5,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1547",2020,5,2019,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1238",2018,3,2017,"Физика","призёр",10,"Московская олимпиада"
"ГБОУ гимназия № 1409",2015,3,2014,"Обществознание","призёр",11,"Московская олимпиада"
"ГБОУ школа № 57",2020,5,2019,"Биология","призёр",10,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2018,5,2017,"Искусство (МХК)","призёр",11,"Районная олимпиада"
"ГБОУ гимназия № 1583",2016,3,2015,"История","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1575",2020,4,2019,"Иностранный язык (английский язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1466 имени Надежды Рушевой",2017,3,2016,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 444",2016,5,2015,"История","призёр",10,"Районная олимпиада"
"НИУ ВШЭ. лицей",2016,3,2015,"Экономика","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1558",2014,4,2013,"Обществознание","призёр",11,"Всероссийская олимпиада"
"университетская гимназия",2019,4,2018,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1535",2020,3,2019,"Экология","победитель",10,"Районная олимпиада"
"ГБОУ гимназия № 1514",2015,4,2014,"Литература","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1252 имени Сервантеса",2014,5,2013,"Иностранный язык (испанский язык)","призёр",9,"Московская олимпиада"
"ГБОУ СОШ № 589",2014,3,2013,"Основы безопасности жизнедеятельности","призёр",9,"Районная олимпиада"
"ГБОУ Инженерно-техническая школа",2019,5,2018,"филология","победитель",5,"Московская олимпиада"
"ГБОУ школа № 1575",2019,5,2018,"Химия","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 171",2017,4,2016,"Математика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1234",2018,5,2017,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1533",2016,3,2015,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ школа № 179",2020,3,2019,"Информатика","призёр",8,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,4,2013,"Математика","победитель",11,"Московская олимпиада"
"ГБОУ школа № 1564",2020,3,2019,"Физика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1400",2015,3,2014,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1558",2014,5,2013,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1372",2015,4,2014,"Изобразительное искусство","призёр",8,"Московская олимпиада"
"ГБОУ школа № 618",2018,4,2017,"Физическая культура","призёр",10,"Всероссийская олимпиада"
"ГБОУ Шуваловская школа № 1448",2018,5,2017,"Право","призёр",10,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,3,2014,"Физика","призёр",11,"Всероссийская олимпиада"
"НОУ ЦО «Школа Сотрудничества»",2017,5,2016,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1551",2015,4,2014,"Изобразительное искусство","победитель",6,"Московская олимпиада"
"ГБОУ школа № 1103",2019,5,2018,"География","призёр",9,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2020,4,2019,"Физика","победитель",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1523",2014,4,2013,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГАОУ школа «ШИК 16»",2019,5,2018,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2014,4,2013,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1580",2018,3,2017,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1474",2019,4,2018,"Химия","победитель",11,"Московская олимпиада"
"ГБОУ СОШ № 654 имени А.Д. Фридмана",2014,4,2013,"Право","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 853",2018,3,2017,"астрономия","призёр",11,"Районная олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2020,4,2019,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1592",2017,5,2016,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,5,2012,"Физика","призёр",11,"Всероссийская олимпиада"
"Предуниверситарий НИЯУ МИФИ",2018,5,2017,"Физика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 199",2016,5,2015,"География","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1568",2017,4,2016,"Математика","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 185",2017,3,2016,"Технология","призёр",5,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2016,3,2015,"Информатика","победитель",10,"Московская олимпиада"
"ГБОУ гимназия № 1563",2016,4,2015,"Русский язык","призёр",9,"Районная олимпиада"
"ГБОУ школа № 1590",2019,4,2018,"Изобразительное искусство","победитель",5,"Московская олимпиада"
"ГБОУ гимназия № 1567",2015,4,2014,"Биология","победитель",9,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2017,4,2016,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2017,4,2016,"Информатика","призёр",7,"Московская олимпиада"
"ГБОУ «Курчатовская школа»",2016,5,2015,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ ЦО № 1601",2013,3,2012,"История","призёр",7,"Московская олимпиада"
"ГАОУ ЦО № 548",2013,5,2012,"Биология","призёр",9,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,5,2013,"Математика","победитель",7,"Московская олимпиада"
"ГАОУ ЦО № 548",2017,4,2016,"Изобразительное искусство","победитель",6,"Московская олимпиада"
"СУНЦ МГУ",2019,3,2018,"Информатика","призёр",10,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,3,2014,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1252",2020,4,2019,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 49",2018,4,2017,"Изобразительное искусство","призёр",10,"Московская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2018,5,2017,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,3,2012,"Физика","призёр",9,"Московская олимпиада"
"ГБОУ школа № 1363",2017,3,2016,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2019,4,2018,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1265",2014,3,2013,"Иностранный язык (французский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 57",2019,5,2018,"Экономика","призёр",7,"Московская олимпиада"
"ГБОУ Физматшкола 2007",2015,3,2014,"Математика","призёр",5,"Московская олимпиада"
"ГБОУ школа № 179",2019,5,2018,"Математика","призёр",9,"Районная олимпиада"
"ГБОУ гимназия № 201 ордена Трудового Красного Знамени им. Героев Советского Союза З. и А. Космодемьянских",2014,3,2013,"Экология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1288",2014,5,2013,"Обществознание","призёр",9,"Московская олимпиада"
"ГБОУ школа № 1540",2020,3,2019,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1580",2015,3,2014,"Физика","победитель",11,"Московская олимпиада"
"ГБОУ школа № 1553 имени В.И. Вернадского",2019,3,2018,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1543",2020,3,2019,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ гимназия № 1527",2017,4,2016,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ Физматшкола № 2007",2016,3,2015,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ ЦО № 57",2013,4,2012,"Математика","призёр",8,"Московская олимпиада"
"ГБОУ Физматшкола 2007",2015,3,2014,"Математика","призёр",7,"Московская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2018,3,2017,"Физика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1474",2019,3,2018,"филология","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1394",2017,3,2016,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 37",2020,5,2019,"Мировая Художественная Культура (МХК)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2013,5,2012,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ гимназия № 1534",2016,5,2015,"Физика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1534 «Академическая»",2020,3,2019,"Физика","победитель",11,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2014,3,2013,"астрономия","победитель",10,"Московская олимпиада"
"ГБОУ школа № 14",2020,3,2019,"Экология","победитель",8,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,5,2015,"Математика","призёр",11,"Всероссийская олимпиада"
"университетская гимназия",2019,5,2018,"Химия","призёр",10,"Московская олимпиада"
"ГБОУ школа № 618",2019,5,2018,"филология","призёр",6,"Московская олимпиада"
"ОАНО «Школа «ЛЕТОВО»",2020,5,2019,"Экономика","призёр",9,"Всероссийская олимпиада"
"ФГБОУ ВО «РЭУ им. Г.В. Плеханова» , РЭУ им. Г.В. Плеханова. Экономический лицей",2020,3,2019,"Обществознание","призёр",10,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2019,4,2018,"Иностранный язык (английский язык)","призёр",10,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2014,5,2013,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2126 «Перово»",2019,4,2018,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1883 «Бутово»",2016,4,2015,"Изобразительное искусство","победитель",11,"Московская олимпиада"
"ГБОУ школа «Интеграл»",2019,3,2018,"Русский язык","призёр",11,"Районная олимпиада"
"ГБОУ лицей «Вторая школа»",2013,5,2012,"Экономика","призёр",11,"Районная олимпиада"
"ГАОУ ЦО № 548",2014,3,2013,"Русский язык","призёр",10,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2020,4,2019,"Экономика","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 218",2019,5,2018,"Литература","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1100",2015,3,2014,"Изобразительное искусство","призёр",5,"Московская олимпиада"
"ГБОУ школа № 192",2015,5,2014,"Экология","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1104",2014,5,2013,"Изобразительное искусство","призёр",4,"Московская олимпиада"
"ГБОУ школа № 1384",2020,4,2019,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1527",2014,3,2013,"Иностранный язык (немецкий язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1303",2014,4,2013,"Химия","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1980",2019,5,2018,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ центр образования № 46",2014,4,2013,"География","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2013,5,2012,"Физика","призёр",10,"Московская олимпиада"
"ГБОУ СОШ № 1265",2014,3,2013,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ «Курчатовская школа»",2020,4,2019,"Биология","призёр",9,"Районная олимпиада"
"ГБОУ школа Марьина Роща имени В.Ф. Орлова",2020,4,2019,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2007 ФМШ",2019,3,2018,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 17",2016,4,2015,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1253",2020,4,2019,"Право","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 1563",2018,3,2017,"Экология","призёр",10,"Всероссийская олимпиада"
"МАОУ «Гимназия г. Троицка»",2019,5,2018,"География","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1265",2017,4,2016,"Химия","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1811 «Восточное Измайлово»",2016,5,2015,"Изобразительное искусство","победитель",6,"Московская олимпиада"
"ГБОУ школа «Покровский квартал»",2018,3,2017,"Обществознание","призёр",11,"Всероссийская олимпиада"
"университетская гимназия",2020,3,2019,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2018,5,2017,"История","призёр",9,"Всероссийская олимпиада"
"ГБОУ СОШ № 654 имени А.Д. Фридмана",2013,4,2012,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 41",2020,4,2019,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 121",2018,5,2017,"Право","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2017,4,2016,"Математика","призёр",11,"Московская олимпиада"
"лицей НИУ ВШЭ",2020,4,2019,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1552",2019,5,2018,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2104 на Таганке",2017,5,2016,"География","победитель",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1576",2016,5,2015,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1980",2016,3,2015,"Изобразительное искусство","призёр",10,"Московская олимпиада"
"ГБОУ гимназия № 1409",2014,3,2013,"филология","призёр",6,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2020,5,2019,"Математика","призёр",11,"Районная олимпиада"
"ГБОУ лицей «Вторая школа»",2016,5,2015,"Физика","призёр",11,"Районная олимпиада"
"ГБОУ школа № 283",2018,4,2017,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1329",2017,3,2016,"Математика","призёр",11,"Московская олимпиада"
"ГБОУ школа № 498",2019,4,2018,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1409",2015,5,2014,"Иностранный язык (французский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514",2017,3,2016,"География","победитель",10,"Всероссийская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»",2016,4,2015,"Биология","победитель",5,"Московская олимпиада"
"НИУ ВШЭ. лицей",2016,3,2015,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 109",2020,3,2019,"Иностранный язык (немецкий язык)","призёр",10,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2017,4,2016,"История","призёр",11,"Районная олимпиада"
"ГБОУ лицей № 1535",2013,3,2012,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 17",2020,3,2019,"Обществознание","призёр",11,"Всероссийская олимпиада"
"МАОУ «Гимназия имени Н.В. Пушкова»",2014,3,2013,"Изобразительное искусство","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1576",2020,5,2019,"Экология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1329",2017,3,2016,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1283",2013,5,2012,"История","призёр",11,"Районная олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2017,5,2016,"Информатика","призёр",10,"Районная олимпиада"
"ГБОУ школа № 218",2016,5,2015,"Экономика","призёр",10,"Районная олимпиада"
"ГБОУ школа № 57",2018,4,2017,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2089",2019,4,2018,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007",2017,5,2016,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 2072",2019,4,2018,"Литература","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1557",2014,5,2013,"Физика","призёр",9,"Московская олимпиада"
"ГБОУ школа № 2036",2017,5,2016,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 14",2019,5,2018,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1494",2019,3,2018,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1519",2014,5,2013,"Право","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2033",2019,4,2018,"География","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1527",2016,5,2015,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1527",2019,3,2018,"Мировая Художественная Культура (МХК)","призёр",9,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2013,3,2012,"Математика","призёр",11,"Всероссийская олимпиада"
"ЧУ СОШ «Олимп-Плюс»",2018,3,2017,"Иностранный язык (английский язык)","призёр",11,"Районная олимпиада"
"ГБОУ школа «Интеграл»",2019,5,2018,"Химия","победитель",10,"Московская олимпиада"
"ГБОУ СОШ № 1199 «Лига Школ»",2014,4,2013,"Мировая Художественная Культура (МХК)","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1534",2019,5,2018,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2025",2017,4,2016,"Мировая Художественная Культура (МХК)","призёр",9,"Всероссийская олимпиада"
"ФГКОУ «МКК ПВ МО РФ»",2019,4,2018,"История","призёр",10,"Московская олимпиада"
"ГБОУ школа № 179",2019,4,2018,"Математика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1363",2019,5,2018,"Литература","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1535",2019,3,2018,"Биология","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1454 «Тимирязевская»",2019,3,2018,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1273",2017,3,2016,"Иностранный язык (французский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1207",2018,3,2017,"География","призёр",5,"Московская олимпиада"
"ГБОУ школа № 904",2016,4,2015,"Изобразительное искусство","призёр",11,"Московская олимпиада"
"ГБОУ школа № 1253",2020,3,2019,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1530 «Школа Ломоносова»",2014,5,2013,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1527",2017,3,2016,"История","призёр",10,"Районная олимпиада"
"ГБОУ школа № 179",2018,5,2017,"Химия","победитель",10,"Московская олимпиада"
"ГБОУ школа № 14",2016,3,2015,"Основы безопасности жизнедеятельности","призёр",9,"Районная олимпиада"
"ГБОУ школа № 1440",2016,5,2015,"Биология","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1980",2019,4,2018,"Изобразительное искусство","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1576",2020,4,2019,"Русский язык","призёр",9,"Всероссийская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2018,5,2017,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 2009",2015,4,2014,"Физическая культура","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1286",2019,3,2018,"Иностранный язык (французский язык)","призёр",7,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2017,4,2016,"Математика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1571",2019,3,2018,"Обществознание","призёр",9,"Всероссийская олимпиада"
"Российская академия государственной службы при Президенте Российской Федерации",2019,4,2018,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 771",2016,5,2015,"Обществознание","призёр",11,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2019,5,2018,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 2035",2014,3,2013,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1518",2013,4,2012,"Обществознание","победитель",9,"Московская олимпиада"
"ГБОУ гимназия № 710 им. Народного учителя СССР В.К. Жудова",2016,4,2015,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1577",2014,3,2013,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,5,2018,"Информатика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 429",2019,4,2018,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1619",2016,5,2015,"Биология","призёр",7,"Московская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых",2017,4,2016,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1580",2019,3,2018,"География","призёр",10,"Районная олимпиада"
"ГБОУ СОШ № 1253",2013,4,2012,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2016,4,2015,"Экономика","призёр",11,"Всероссийская олимпиада"
"МАОУ «Гимназия г. Троицка»",2016,3,2015,"Химия","призёр",9,"Московская олимпиада"
