"Class","ShortName","Subject","Status","Year_begin","Year_end","OlympiadType","TeamSize"
9,"ГБОУ школа № 1955","Изобразительное искусство","призёр",2018,2019,"Московская олимпиада",5
10,"ГБОУ школа № 2009","Русский язык","призёр",2019,2020,"Всероссийская олимпиада",3
7,"ГБОУ гимназия № 1544","филология","призёр",2016,2017,"Московская олимпиада",5
6,"ГБОУ школа № 1282 «Сокольники»","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",3
7,"ГБОУ школа № 1980","филология","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ СОШ № 1449","Основы безопасности жизнедеятельности","призёр",2014,2015,"Всероссийская олимпиада",4
11,"ГБОУ гимназия № 1573","Иностранный язык (французский язык)","призёр",2014,2015,"Районная олимпиада",3
11,"ГБОУ школа № 192","Биология","призёр",2019,2020,"Всероссийская олимпиада",4
9,"ГБОУ школа № 2007 ФМШ","Математика","призёр",2018,2019,"Московская олимпиада",5
5,"ГБОУ гимназия № 1517","Изобразительное искусство","призёр",2013,2014,"Московская олимпиада",3
8,"ГБОУ школа № 727","филология","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ гимназия № 1272","Иностранный язык (французский язык)","призёр",2015,2016,"Районная олимпиада",5
11,"ГБОУ школа № 1748","Информационные технологии в профессиональной деятельности","призёр",2018,2019,"Московская олимпиада",5
8,"ГБОУ школа № 2109","Химия","победитель",2016,2017,"Московская олимпиада",4
11,"ГБОУ лицей № 1535","Право","призёр",2013,2014,"Всероссийская олимпиада",5
10,"ГБОУ лицей № 1303","Химия","призёр",2015,2016,"Московская олимпиада",4
11,"ГБОУ школа имени Маршала В.И. Чуйкова","Химия","призёр",2018,2019,"Всероссийская олимпиада",4
6,"ГБОУ СОШ № 1985","Изобразительное искусство","призёр",2013,2014,"Московская олимпиада",5
11,"ГБОУ школа № 709","История","призёр",2015,2016,"Всероссийская олимпиада",5
8,"ГБОУ школа № 2026","Основы безопасности жизнедеятельности","призёр",2019,2020,"Всероссийская олимпиада",3
10,"ГБОУ «Школа № 597 «Новое Поколение»","Экология","победитель",2018,2019,"Всероссийская олимпиада",4
6,"ГБОУ ЦО № 1884","Изобразительное искусство","призёр",2013,2014,"Московская олимпиада",4
11,"лицей НИУ ВШЭ","Обществознание","призёр",2019,2020,"Всероссийская олимпиада",4
9,"ОАНО «Школа «ЛЕТОВО»","Химия","призёр",2019,2020,"Всероссийская олимпиада",4
11,"МАОУ «Гимназия имени Н.В. Пушкова»","Обществознание","призёр",2019,2020,"Всероссийская олимпиада",3
7,"ГБОУ школа № 199","Математика","призёр",2016,2017,"Московская олимпиада",3
7,"ГБОУ школа № 1576","филология","призёр",2018,2019,"Московская олимпиада",3
11,"ГБОУ «Курчатовская школа»","Физика","призёр",2015,2016,"Всероссийская олимпиада",5
10,"Российская академия государственной службы при Президенте Российской Федерации","История","призёр",2018,2019,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1329","Физика","призёр",2015,2016,"Всероссийская олимпиада",4
5,"ГБОУ гимназия № 1797 «Богородская»","Изобразительное искусство","призёр",2014,2015,"Московская олимпиада",3
11,"ГБОУ ЦО № 57","Физика","призёр",2014,2015,"Всероссийская олимпиада",5
10,"ГБОУ школа № 2077","Биология","призёр",2014,2015,"Всероссийская олимпиада",4
10,"ГБОУ СОШ № 235","География","призёр",2012,2013,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1252 имени Сервантеса","филология","призёр",2016,2017,"Московская олимпиада",5
11,"ГБОУ ЦО № 1601 им. Героя Советского Союза Е.К. Лютикова","Литература","призёр",2015,2016,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1151","Физическая культура","призёр",2014,2015,"Районная олимпиада",4
6,"ГБОУ «Школа № 2100»","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",3
4,"ГБОУ СОШ № 1383","предпринимательство","призёр",2013,2014,"Московская олимпиада",4
6,"ГБОУ СОШ № 481","предпринимательство","призёр",2013,2014,"Московская олимпиада",5
7,"ГБОУ гимназия № 1519","Изобразительное искусство","победитель",2015,2016,"Московская олимпиада",3
10,"ГБОУ СОШ № 1279","Экономика","призёр",2013,2014,"Всероссийская олимпиада",4
9,"ГАОУ ВО МИОО. СОШ № 179","Информатика","призёр",2015,2016,"Всероссийская олимпиада",4
9,"ГБОУ школа № 345","Основы безопасности жизнедеятельности","победитель",2018,2019,"Всероссийская олимпиада",5
11,"НИУ ВШЭ. лицей","История","призёр",2016,2017,"Всероссийская олимпиада",3
9,"ГБОУ школа № 727","География","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ гимназия № 1514","Литература","победитель",2013,2014,"Всероссийская олимпиада",5
3,"ГБОУ гимназия № 1518","Экономика","призёр",2013,2014,"Московская олимпиада",4
10,"ГБОУ школа № 1543","Литература","призёр",2018,2019,"Всероссийская олимпиада",4
10,"ГБОУ «Лицей «Вторая школа»","Экономика","победитель",2018,2019,"Всероссийская олимпиада",5
10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Физика","призёр",2016,2017,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1449","Основы безопасности жизнедеятельности","победитель",2019,2020,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1980","Технология","призёр",2018,2019,"Районная олимпиада",5
11,"ГБОУ школа № 1315","Право","победитель",2017,2018,"Всероссийская олимпиада",5
10,"СУНЦ МГУ","Физика","призёр",2018,2019,"Всероссийская олимпиада",5
9,"ГБОУ СОШ № 1356","Мировая Художественная Культура (МХК)","призёр",2014,2015,"Всероссийская олимпиада",4
11,"ФГКОУ «Кадетский корпус Следственного комитета Российской Федерации имени Александра Невского» или «Кадетский корпус Следственного комитета»","Основы безопасности жизнедеятельности","призёр",2017,2018,"Всероссийская олимпиада",4
9,"ГБОУ школа № 2026","Обществознание","призёр",2015,2016,"Всероссийская олимпиада",5
9,"ГБПОУ КАИТ № 20","Изобразительное искусство","призёр",2014,2015,"Московская олимпиада",3
7,"ГБОУ школа № 853","Физика","победитель",2013,2014,"Московская олимпиада",3
10,"ГБПОУ «1-й МОК»","Изобразительное искусство","призёр",2018,2019,"Московская олимпиада",4
11,"ГБОУ СОШ № 1270","Литература","призёр",2013,2014,"Всероссийская олимпиада",4
9,"ГБОУ школа № 57","Математика","призёр",2019,2020,"Всероссийская олимпиада",4
7,"ГБОУ школа № 924","Робототехника","призёр",2018,2019,"Московская олимпиада",4
11,"ГБОУ лицей № 1501","Иностранный язык (немецкий язык)","призёр",2016,2017,"Всероссийская олимпиада",4
10,"ГБОУ Шуваловская гимназия № 1448","Иностранный язык (французский язык)","призёр",2016,2017,"Всероссийская олимпиада",3
10,"ГБОУ СОШ № 1237","Иностранный язык (испанский язык)","призёр",2012,2013,"Московская олимпиада",4
11,"ГБОУ школа № 1251 имени генерала Шарля де Голля","Русский язык","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ лицей № 1568","Физика","призёр",2016,2017,"Всероссийская олимпиада",3
11,"ГБОУ школа № 1252 имени Сервантеса","Иностранный язык (английский язык)","призёр",2015,2016,"Всероссийская олимпиада",5
11,"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора","Обществознание","победитель",2018,2019,"Московская олимпиада",3
11,"ГБОУ СОШ № 315","Физика","призёр",2014,2015,"Московская олимпиада",3
11,"ГБОУ лицей № 1580","Физическая культура","призёр",2016,2017,"Всероссийская олимпиада",5
4,"ГБОУ гимназия № 1518","Экономика","призёр",2013,2014,"Московская олимпиада",5
11,"ГБОУ школа № 1249","Иностранный язык (немецкий язык)","призёр",2017,2018,"Всероссийская олимпиада",5
9,"ГБОУ школа № 179","Информатика","призёр",2019,2020,"Районная олимпиада",5
7,"ГБОУ гимназия № 1562","География","призёр",2014,2015,"Московская олимпиада",4
10,"ГБОУ школа № 1454 «Центр образования Тимирязевский»","Основы безопасности жизнедеятельности","победитель",2016,2017,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1568","Физика","призёр",2017,2018,"Московская олимпиада",5
11,"ГБОУ ЦО № 57","Физика","призёр",2014,2015,"Московская олимпиада",5
9,"ГБОУ школа № 1575","Русский язык","призёр",2018,2019,"Районная олимпиада",4
10,"ГБОУ школа № 1580","География","призёр",2018,2019,"Районная олимпиада",3
8,"ГБОУ лицей «Вторая школа»","Математика","призёр",2015,2016,"Московская олимпиада",3
11,"ГБОУ школа № 141","Химия","победитель",2015,2016,"Московская олимпиада",5
9,"ГБОУ школа № 1535","Химия","призёр",2019,2020,"Районная олимпиада",5
7,"ГБОУ школа № 2036","Основы безопасности жизнедеятельности","призёр",2018,2019,"Московская олимпиада",5
10,"ГАОУ «Школа № 1518»","История","призёр",2018,2019,"Всероссийская олимпиада",4
10,"ГБОУ школа лицей № 1420","Физическая культура","победитель",2015,2016,"Районная олимпиада",3
11,"ГБОУ лицей № 1547","История","призёр",2013,2014,"Всероссийская олимпиада",5
9,"ГБОУ ЦО № 218","филология","призёр",2012,2013,"Московская олимпиада",4
9,"ГБОУ школа № 1329","Физика","призёр",2017,2018,"Всероссийская олимпиада",4
5,"ГБОУ гимназия № 1573","Робототехника","призёр",2015,2016,"Московская олимпиада",5
11,"ГБОУ школа № 1590","Обществознание","призёр",2017,2018,"Всероссийская олимпиада",3
9,"ГБОУ СОШ № 814","Основы безопасности жизнедеятельности","призёр",2014,2015,"Всероссийская олимпиада",5
11,"ГБОУ гимназия № 1590 имени Героя Советского Союза В.В. Колесника","История","призёр",2014,2015,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1576","Русский язык","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ школа № 2007 ФМШ","Информатика","призёр",2018,2019,"Всероссийская олимпиада",5
