"personal_status","duration","credit_history","purpose","type","existing_credits","credit_amount","housing","age"
"женщина",12,"есть непогашенные кредиты","подержанная машина","надежный",1,4769,"арендатор",18
"мужчина (одинокий)",16,"есть непогашенные кредиты","бытовая техника","надежный",1,2278,"домовладелец",36
"мужчина (одинокий)",15,"есть просрочки платежей","бытовая техника","надежный",2,1882,"домовладелец",49
"мужчина (одинокий)",46,"все кредиты погашены","подержанная машина","надежный",1,10462,"без жилья",52
"мужчина (одинокий)",15,"есть просрочки платежей","новая машина","надежный",1,1368,"домовладелец",46
"мужчина (одинокий)",4,"есть просрочки платежей","новая машина","надежный",3,5178,"арендатор",38
"женщина",36,"есть просрочки платежей","бытовая техника","надежный",2,13678,"домовладелец",29
"мужчина (одинокий)",23,"есть непогашенные кредиты","бытовая техника","надежный",1,1922,"домовладелец",35
"мужчина (женатый или вдовец)",27,"есть просрочки платежей","подержанная машина","надежный",2,6441,"арендатор",26
"мужчина (одинокий)",13,"есть непогашенные кредиты","новая машина","ненадежный",1,998,"домовладелец",38
"мужчина (женатый или вдовец)",15,"есть просрочки платежей","мебель","надежный",2,2879,"домовладелец",23
"мужчина (одинокий)",29,"не было кредитов","бизнес","ненадежный",1,16667,"домовладелец",20
"женщина",52,"есть непогашенные кредиты","бытовая техника","надежный",1,2700,"домовладелец",25
"мужчина (одинокий)",8,"есть просрочки платежей","подержанная машина","надежный",2,2687,"домовладелец",30
"женщина",16,"есть непогашенные кредиты","мебель","надежный",1,5430,"арендатор",21
"женщина",8,"есть непогашенные кредиты","мебель","ненадежный",1,4565,"домовладелец",25
"мужчина (одинокий)",34,"есть просрочки платежей","бытовая техника","надежный",2,1409,"домовладелец",41
"мужчина (одинокий)",14,"есть непогашенные кредиты","новая машина","надежный",1,7768,"без жилья",63
"мужчина (одинокий)",19,"есть просрочки платежей","бытовая техника","надежный",1,2502,"домовладелец",52
"мужчина (разведенный)",5,"есть непогашенные кредиты","другое","надежный",1,1384,"домовладелец",57
"мужчина (одинокий)",26,"есть непогашенные кредиты","мебель","ненадежный",1,7121,"домовладелец",25
"мужчина (женатый или вдовец)",13,"есть непогашенные кредиты","подержанная машина","надежный",1,3392,"арендатор",19
"мужчина (женатый или вдовец)",57,"есть непогашенные кредиты","подержанная машина","ненадежный",1,13745,"арендатор",28
"мужчина (одинокий)",11,"есть просрочки платежей","бытовая техника","надежный",2,1479,"домовладелец",26
"женщина",16,"есть непогашенные кредиты","бытовая техника","надежный",1,1320,"домовладелец",24
