"ShortName","Status","Year_begin","Year_end","Subject","TeamSize","Class","OlympiadType"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2016,2017,"Математика",3,11,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","победитель",2019,2020,"Информатика",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1194","призёр",2018,2019,"Биология",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1329","победитель",2016,2017,"Обществознание",5,9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","победитель",2017,2018,"лингвистика",4,9,"Московская олимпиада"
"ГБОУ школа № 444","призёр",2018,2019,"Экономика",3,6,"Московская олимпиада"
"ГБОУ СОШ № 354 им. Д.М. Карбышева","призёр",2012,2013,"Экология",5,9,"Всероссийская олимпиада"
"ННОУ «Частная школа «Золотое сечение»","призёр",2013,2014,"Иностранный язык (английский язык)",3,11,"Всероссийская олимпиада"
"СУНЦ МГУ","призёр",2016,2017,"Физика",4,10,"Московская олимпиада"
"ГБОУ гимназия № 1518","призёр",2014,2015,"Обществознание",5,11,"Всероссийская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова","призёр",2019,2020,"Литература",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2017,2018,"Математика",5,11,"Районная олимпиада"
"ГБОУ школа № 1353","призёр",2015,2016,"Литература",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1315","призёр",2019,2020,"География",3,9,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ","призёр",2019,2020,"Обществознание",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1576","призёр",2016,2017,"География",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 2007 ФМШ","призёр",2017,2018,"Математика",3,11,"Районная олимпиада"
"ГБОУ школа № 1543","призёр",2017,2018,"История",4,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1547","призёр",2013,2014,"Литература",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1793","призёр",2017,2018,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"Русский язык",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1413","призёр",2016,2017,"Технология",5,6,"Московская олимпиада"
"ГБОУ лицей № 1553 им. В. И. Вернадского","призёр",2013,2014,"лингвистика",5,9,"Московская олимпиада"
"ГБОУ школа на проспекте Вернадского","призёр",2019,2020,"Русский язык",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 878","победитель",2015,2016,"Физическая культура",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1502 при МЭИ","призёр",2018,2019,"Литература",3,9,"Районная олимпиада"
"ГАОУ «Гимназия № 1518»","призёр",2016,2017,"Обществознание",5,10,"Московская олимпиада"
"НИУ ВШЭ. лицей","призёр",2016,2017,"Литература",3,11,"Районная олимпиада"
"ГБОУ «Школа № 597 «Новое Поколение»","призёр",2018,2019,"Робототехника",4,5,"Московская олимпиада"
"«Свято-Владимирская школа»","призёр",2013,2014,"Изобразительное искусство",5,1,"Московская олимпиада"
"ГБОУ школа № 444","призёр",2017,2018,"Иностранный язык (итальянский язык)",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 626","призёр",2019,2020,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова","призёр",2018,2019,"Химия",4,11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","победитель",2015,2016,"Математика",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1525 «Красносельский»","призёр",2015,2016,"филология",5,9,"Московская олимпиада"
"НИУ ВШЭ. лицей","призёр",2015,2016,"Обществознание",3,11,"Районная олимпиада"
"Предуниверситарий НИЯУ МИФИ","призёр",2019,2020,"География",4,10,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2012,2013,"Математика",3,11,"Московская олимпиада"
"ГБОУ лицей № 138","призёр",2014,2015,"Изобразительное искусство",3,6,"Московская олимпиада"
"ГБОУ школа № 192","призёр",2017,2018,"Химия",4,10,"Всероссийская олимпиада"
"лицей НИУ ВШЭ","призёр",2019,2020,"Обществознание",3,11,"Районная олимпиада"
"ГБОУ школа № 1329","призёр",2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)",4,6,"Московская олимпиада"
"ГБОУ гимназия № 1576","призёр",2015,2016,"География",3,11,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ","призёр",2017,2018,"Русский язык",5,9,"Районная олимпиада"
"ГБОУ СОШ № 199","призёр",2013,2014,"Русский язык",5,11,"Всероссийская олимпиада"
"ГБОУ СОШ № 887","призёр",2013,2014,"Обществознание",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 2006","призёр",2018,2019,"Робототехника",5,6,"Московская олимпиада"
"ГБОУ школа № 1319","призёр",2016,2017,"Иностранный язык (французский язык)",5,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 201","призёр",2014,2015,"Мировая Художественная Культура (МХК)",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1252 имени Сервантеса","призёр",2016,2017,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1583","призёр",2014,2015,"филология",3,7,"Московская олимпиада"
"ГБОУ Инженерно-техническая школа","призёр",2016,2017,"Литература",4,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514","призёр",2013,2014,"Биология",5,6,"Московская олимпиада"
"ГБОУ СОШ № 654 имени А.Д. Фридмана","призёр",2014,2015,"Физика",4,9,"Всероссийская олимпиада"
"СУНЦ МГУ","призёр",2018,2019,"Математика",4,10,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2015,2016,"Математика",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1324","победитель",2015,2016,"Изобразительное искусство",3,5,"Московская олимпиада"
"ГБОУ лицей № 1553 им. В. И. Вернадского","призёр",2012,2013,"Мировая Художественная Культура (МХК)",4,9,"Всероссийская олимпиада"
