"OlympiadType","Subject","ShortName","Class","Year_end","Status","Year_begin","TeamSize"
"Всероссийская олимпиада","Экономика","ГБОУ ЦО № 57",11,2013,"призёр",2012,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1575",10,2019,"призёр",2018,4
"Всероссийская олимпиада","Экология","ГБОУ «Школа № 597 «Новое Поколение»",11,2016,"призёр",2015,4
"Всероссийская олимпиада","Право","ГБОУ школа № 444",10,2017,"призёр",2016,5
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ «Курчатовская школа»",11,2019,"призёр",2018,4
"Московская олимпиада","предпринимательство","НИУ ВШЭ. лицей",10,2014,"победитель",2013,5
"Московская олимпиада","Математика","ГБОУ школа № 57",8,2017,"призёр",2016,5
"Московская олимпиада","Технология","ГБОУ школа № 1248",6,2019,"призёр",2018,3
"Всероссийская олимпиада","История","ГБОУ СОШ № 1469",9,2013,"призёр",2012,5
"Всероссийская олимпиада","Математика","ГБОУ ЦО № 218",10,2013,"призёр",2012,3
"Московская олимпиада","География","ГБОУ гимназия № 1619",8,2017,"призёр",2016,4
"Всероссийская олимпиада","Биология","ГБОУ ЦО № 2006",11,2014,"призёр",2013,4
"Всероссийская олимпиада","Биология","ГБОУ лицей № 1535",11,2015,"призёр",2014,5
"Московская олимпиада","Бюджетная грамотность","ГБОУ школа № 1852",6,2019,"призёр",2018,4
"Московская олимпиада","Технология","ГБОУ школа № 1747",5,2018,"победитель",2017,4
"Всероссийская олимпиада","Русский язык","ГБОУ гимназия № 1567",9,2016,"призёр",2015,5
"Всероссийская олимпиада","Иностранный язык (испанский язык)","ГБОУ школа № 1252",11,2020,"призёр",2019,5
"Московская олимпиада","Физика","ГБОУ СОШ № 1350",7,2014,"призёр",2013,5
"Московская олимпиада","филология","ГБОУ школа № 1270",7,2018,"призёр",2017,4
"Всероссийская олимпиада","Математика","ГБОУ гимназия № 1567",11,2017,"призёр",2016,5
"Московская олимпиада","География","ГБОУ школа № 1290",8,2019,"призёр",2018,5
"Московская олимпиада","Химия","ГБОУ лицей № 1568",9,2016,"призёр",2015,4
"Московская олимпиада","География","ГБОУ школа № 1288",5,2016,"победитель",2015,4
"Московская олимпиада","филология","ГБОУ школа «Интеллектуал»",11,2018,"призёр",2017,3
"Районная олимпиада","Право","НИУ ВШЭ. лицей",11,2016,"призёр",2015,3
"Московская олимпиада","История","ГБОУ школа № 1595",8,2019,"призёр",2018,5
"Районная олимпиада","Физика","ГБОУ СОШ № 1189",11,2014,"призёр",2013,4
"Московская олимпиада","Химия","ГБОУ лицей № 1568",8,2015,"призёр",2014,4
"Московская олимпиада","астрономия","ГБОУ школа № 641 имени С. Есенина",7,2019,"призёр",2018,3
"Всероссийская олимпиада","Биология","ГБОУ школа № 218",10,2017,"призёр",2016,4
"Всероссийская олимпиада","География","ГБОУ СОШ № 1740",9,2013,"призёр",2012,3
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 1535",9,2020,"призёр",2019,3
"Московская олимпиада","Химия","ГБОУ лицей № 1303",9,2015,"призёр",2014,3
"Всероссийская олимпиада","Право","ГБОУ лицей № 1574",11,2014,"призёр",2013,3
"Московская олимпиада","Биология","ГБОУ «Школа-интернат «Интеллектуал»",8,2016,"победитель",2015,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1210",6,2017,"призёр",2016,3
"Всероссийская олимпиада","Биология","ГБОУ школа № 171",10,2013,"призёр",2012,3
"Московская олимпиада","Технология","ГБОУ школа № 185",6,2018,"призёр",2017,5
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 185",11,2016,"призёр",2015,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1251 имени генерала Шарля де Голля",11,2017,"призёр",2016,3
"Всероссийская олимпиада","Экономика","ГБОУ школа № 57",9,2019,"победитель",2018,3
"Московская олимпиада","География","ГБОУ СОШ № 962",8,2015,"призёр",2014,4
"Всероссийская олимпиада","История","ГБОУ лицей № 1535",10,2016,"призёр",2015,5
"Районная олимпиада","Русский язык","ГБОУ школа № 1252",10,2018,"призёр",2017,4
"Всероссийская олимпиада","Химия","ГБОУ школа № 218",9,2018,"призёр",2017,4
"Всероссийская олимпиада","Экология","ГБОУ лицей № 1535",10,2016,"призёр",2015,4
"Районная олимпиада","Литература","ГБОУ школа № 1279",9,2018,"призёр",2017,5
"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",9,2017,"призёр",2016,4
"Московская олимпиада","Информатика","ГБОУ школа № 463",8,2016,"победитель",2015,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1449",10,2020,"призёр",2019,3
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 2025",9,2015,"призёр",2014,4
"Московская олимпиада","Физика","ГБОУ «Школа Глория»",11,2018,"призёр",2017,3
"Всероссийская олимпиада","Русский язык","ГАОУ ВО МИОО. СОШ № 179",10,2017,"победитель",2016,4
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",10,2016,"призёр",2015,5
"Районная олимпиада","Химия","ГБОУ школа № 1056",9,2018,"призёр",2017,5
"Всероссийская олимпиада","Биология","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,2013,"призёр",2012,4
"Всероссийская олимпиада","Право","ГБОУ школа № 1540",9,2020,"победитель",2019,5
"Московская олимпиада","филология","ГБОУ лицей № 429 «Соколиная гора»",6,2016,"призёр",2015,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 667",5,2018,"победитель",2017,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ Романовская школа",11,2020,"призёр",2019,4
"Всероссийская олимпиада","Математика","ГБОУ школа № 67",10,2018,"призёр",2017,3
"Всероссийская олимпиада","Технология","ГБПОУ ПК им. П.А. Овчинникова",10,2019,"призёр",2018,4
"Всероссийская олимпиада","Экономика","ГБОУ СОШ № 2006",11,2015,"призёр",2014,3
"Районная олимпиада","Химия","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,2016,"победитель",2015,4
"Московская олимпиада","Технология","ГБОУ школа № 491",5,2018,"призёр",2017,3
"Московская олимпиада","филология","ГБОУ школа № 1980",7,2018,"призёр",2017,3
"Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 2007 ФМШ",11,2018,"призёр",2017,5
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1270",11,2016,"призёр",2015,5
"Всероссийская олимпиада","астрономия","ГБОУ школа № 2007 ФМШ",11,2019,"победитель",2018,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1955",9,2019,"призёр",2018,3
"Всероссийская олимпиада","Право","ГБОУ школа № 1290",11,2018,"призёр",2017,4
"Московская олимпиада","Технология","ГБОУ школа № 185",5,2019,"призёр",2018,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1015",8,2016,"призёр",2015,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 236",8,2017,"победитель",2016,5
"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ СОШ № 1308",10,2013,"призёр",2012,4
"Всероссийская олимпиада","Математика","Предуниверситарий НИЯУ МИФИ",10,2020,"призёр",2019,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 1583",9,2018,"призёр",2017,4
"Районная олимпиада","Информатика","ГБОУ школа № 179",8,2020,"призёр",2019,4
"Московская олимпиада","Физика","ГБОУ гимназия № 1569 «Созвездие»",7,2016,"призёр",2015,3
"Всероссийская олимпиада","Экология","ГБОУ СОШ № 26",9,2013,"призёр",2012,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 2000",7,2015,"призёр",2014,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 49",7,2015,"призёр",2014,3
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 962",9,2017,"призёр",2016,4
"Всероссийская олимпиада","Физическая культура","ГБОУ «Школа № 2100»",11,2017,"призёр",2016,4
"Районная олимпиада","Иностранный язык (испанский язык)","ГБОУ школа № 2123 им. М. Эрнандеса",10,2018,"призёр",2017,3
"Московская олимпиада","Математика","ГБОУ ЦО № 1329",5,2014,"призёр",2013,4
"Московская олимпиада","филология","ГБОУ гимназия № 1583",9,2014,"призёр",2013,4
"Московская олимпиада","История","ГБОУ лицей № 1523",11,2016,"призёр",2015,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 2097",9,2017,"победитель",2016,3
"Московская олимпиада","Химия","ГБОУ «Гимназия № 1636 «НИКА»",11,2015,"победитель",2014,3
"Московская олимпиада","Обществознание","ГБОУ гимназия № 1551",9,2017,"призёр",2016,3
"Московская олимпиада","История","ГБОУ школа № 1564",9,2018,"победитель",2017,4
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1492",11,2020,"призёр",2019,3
"Московская олимпиада","филология","ГБОУ школа № 2009",11,2019,"призёр",2018,3
"Всероссийская олимпиада","История","ОО ЧУ «Московский лицей «Ступени»",10,2016,"призёр",2015,5
"Московская олимпиада","филология","ГБОУ школа № 853",6,2013,"призёр",2012,3
"Московская олимпиада","Физика","ГБОУ гимназия № 1567",8,2017,"призёр",2016,5
"Московская олимпиада","Технология","ГБОУ школа № 185",5,2018,"призёр",2017,4
"Московская олимпиада","Технология","ГБОУ школа № 939",5,2017,"призёр",2016,4
"Всероссийская олимпиада","Физика","ГБОУ лицей № 1524",11,2013,"призёр",2012,5
"Районная олимпиада","Русский язык","ГБОУ школа № 1512",11,2020,"призёр",2019,4
"Всероссийская олимпиада","астрономия","ОАНО «Школа «ЛЕТОВО»",10,2020,"победитель",2019,5
"Московская олимпиада","История","ГБОУ гимназия № 1506",6,2017,"призёр",2016,5
"Районная олимпиада","Биология","ГБОУ гимназия № 1504",10,2017,"призёр",2016,5
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1589",9,2020,"призёр",2019,5
"Районная олимпиада","Обществознание","ГБОУ лицей № 1535",11,2015,"призёр",2014,4
"Всероссийская олимпиада","Обществознание","лицей НИУ ВШЭ",10,2019,"призёр",2018,3
"Московская олимпиада","Бюджетная грамотность","ГБОУ школа № 152",7,2019,"призёр",2018,3
"Всероссийская олимпиада","Химия","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,2015,"призёр",2014,4
"Всероссийская олимпиада","Физика","ГБОУ «Лицей «Вторая школа»",9,2019,"призёр",2018,4
"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 1517",9,2019,"призёр",2018,5
"Всероссийская олимпиада","Химия","ГБОУ школа № 1568",9,2019,"призёр",2018,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа имени Маршала В.И. Чуйкова",11,2020,"призёр",2019,4
"Всероссийская олимпиада","Экология","ГБОУ школа № 1543",11,2018,"призёр",2017,5
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",6,2017,"призёр",2016,4
"Московская олимпиада","Мировая Художественная Культура (МХК)","ФГКОУ «МКК ПВ МО РФ»",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ФГКОУ «МСВУ МО РФ»",10,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ Физматшкола 2007",7,2013,"призёр",2012,5
"Всероссийская олимпиада","Физика","ГБОУ школа № 1329",9,2017,"призёр",2016,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 2045",9,2016,"призёр",2015,5
"Московская олимпиада","Обществознание","ГБОУ школа № 1563",11,2018,"победитель",2017,3
"Всероссийская олимпиада","Право","ГБОУ школа № 1541",10,2020,"победитель",2019,3
"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1534",11,2014,"призёр",2013,4
"Всероссийская олимпиада","Технология","ГБОУ школа № 323",10,2018,"призёр",2017,4
"Московская олимпиада","филология","МГУПС (МИИТ)",7,2014,"призёр",2013,5
"Всероссийская олимпиада","География","ОАНО «Школа «ЛЕТОВО»",9,2019,"победитель",2018,4
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ФГКОУ «МКК ПВ МО РФ»",9,2020,"победитель",2019,5
"Районная олимпиада","Экономика","ГБОУ лицей № 1535",11,2014,"призёр",2013,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 2026",11,2020,"призёр",2019,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 719",9,2016,"победитель",2015,3
"Всероссийская олимпиада","Экология","ГБОУ «Школа Глория»",9,2018,"призёр",2017,4
"Всероссийская олимпиада","Литература","ГБОУ ЦО № 57",11,2013,"призёр",2012,3
"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ СОШ № 1308",11,2015,"призёр",2014,5
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",6,2017,"призёр",2016,4
"Московская олимпиада","предпринимательство","ГБОУ гимназия № 1583",4,2014,"призёр",2013,5
"Всероссийская олимпиада","Литература","ГБОУ школа № 1270",11,2018,"призёр",2017,4
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 2127",10,2017,"призёр",2016,3
"Московская олимпиада","Робототехника","ГАОУ школа № 548",6,2019,"призёр",2018,5
"Всероссийская олимпиада","Химия","ГБОУ школа «Марьино»",9,2018,"призёр",2017,5
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ СОШ № 1199 «Лига Школ»",10,2014,"призёр",2013,4
"Всероссийская олимпиада","Биология","ГБОУ Московская гимназия на Юго-Западе № 1543",9,2017,"призёр",2016,5
"Московская олимпиада","Технология","ГБОУ школа № 1000",9,2018,"победитель",2017,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 648",4,2014,"победитель",2013,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 763",6,2018,"призёр",2017,5
"Всероссийская олимпиада","Математика","ГБОУ СОШ № 54",10,2013,"призёр",2012,4
"Московская олимпиада","Математика","ГБОУ школа № 444",6,2018,"победитель",2017,5
"Московская олимпиада","Математика","ГБОУ «Московская международная школа»",7,2019,"призёр",2018,4
"Районная олимпиада","Биология","ГБОУ школа № 1560",10,2019,"призёр",2018,5
"Московская олимпиада","Химия","ГБОУ школа № 1568",10,2018,"призёр",2017,5
"Всероссийская олимпиада","Обществознание","лицей НИУ ВШЭ",11,2020,"призёр",2019,4
"Всероссийская олимпиада","География","ГБОУ школа № 1376",11,2018,"призёр",2017,3
"Московская олимпиада","Физика","ГБОУ школа-интернат «Интеллектуал»",10,2014,"призёр",2013,4
"Районная олимпиада","Обществознание","ГБОУ лицей № 1535",10,2016,"призёр",2015,3
"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ ММГ",10,2017,"призёр",2016,5
"Всероссийская олимпиада","Химия","ГБОУ ЛГК на Юго-Востоке",10,2017,"призёр",2016,3
"Московская олимпиада","Технология","ГБОУ гимназия № 1551",6,2013,"призёр",2012,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1298 «Профиль Куркино»",8,2019,"победитель",2018,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 1498",10,2015,"призёр",2014,5
"Районная олимпиада","Русский язык","ГБОУ гимназия № 1573",10,2014,"призёр",2013,4
"Московская олимпиада","Математика","ГБОУ школа № 853",10,2014,"призёр",2013,4
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",7,2017,"призёр",2016,5
"Всероссийская олимпиада","Химия","ГБОУ школа № 218",9,2017,"призёр",2016,3
"Районная олимпиада","Обществознание","НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»",10,2015,"призёр",2014,5
