"Year_begin","OlympiadType","Status","Year_end","TeamSize","Class","ShortName","Subject"
2018,"Всероссийская олимпиада","победитель",2019,5,10,"лицей НИУ ВШЭ","Иностранный язык (английский язык)"
2012,"Всероссийская олимпиада","призёр",2013,4,9,"ГБОУ гимназия № 1551","Право"
2016,"Всероссийская олимпиада","призёр",2017,3,9,"ОЧУ «Финансово-экономическая школа»","Обществознание"
2014,"Московская олимпиада","победитель",2015,5,5,"ГБОУ СОШ № 1212","Биология"
2016,"Московская олимпиада","призёр",2017,3,9,"ГАОУ ВПО МИОО. СОШ № 179","Информатика"
2014,"Всероссийская олимпиада","призёр",2015,5,9,"ГБОУ школа № 192","Биология"
2017,"Московская олимпиада","победитель",2018,5,6,"ГБОУ школа № 1251 имени генерала Шарля де Голля","Изобразительное искусство"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"ГБОУ школа № 2104 на Таганке","Иностранный язык (немецкий язык)"
2012,"Районная олимпиада","призёр",2013,4,10,"ГБОУ гимназия № 1512","Русский язык"
2014,"Районная олимпиада","призёр",2015,5,11,"ГБОУ ЦО № 57","Математика"
2012,"Московская олимпиада","призёр",2013,4,8,"ГБОУ лицей № 1568","Химия"
2016,"Районная олимпиада","призёр",2017,3,11,"ГБОУ ЦО № 1858","Литература"
2013,"Районная олимпиада","призёр",2014,5,9,"ГБОУ школа № 536","Право"
2018,"Всероссийская олимпиада","призёр",2019,3,10,"ГБОУ школа № 1288","Право"
2017,"Всероссийская олимпиада","призёр",2018,3,10,"ГБОУ школа № 2007 ФМШ","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2019,"Всероссийская олимпиада","призёр",2020,5,9,"ОАНО «Школа «ЛЕТОВО»","Физика"
2017,"Всероссийская олимпиада","призёр",2018,5,9,"ГБОУ школа № 2026","Основы безопасности жизнедеятельности"
2019,"Всероссийская олимпиада","призёр",2020,5,11,"ГБОУ «Лицей «Вторая школа»","Информатика"
2016,"Всероссийская олимпиада","призёр",2017,5,9,"ГБОУ школа № 1284","История"
2018,"Московская олимпиада","призёр",2019,5,11,"ГБОУ школа № 1540","Бюджетная грамотность"
2019,"Районная олимпиада","призёр",2020,3,11,"ГБОУ школа № 1637","Иностранный язык (английский язык)"
2013,"Районная олимпиада","призёр",2014,4,10,"ГБОУ СОШ № 26","Биология"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ СОШ № 1205","Иностранный язык (английский язык)"
2018,"Всероссийская олимпиада","призёр",2019,5,10,"ГБОУ школа № 179","Математика"
2015,"Всероссийская олимпиада","призёр",2016,3,11,"ГБОУ гимназия № 1536","Литература"
2015,"Всероссийская олимпиада","призёр",2016,5,9,"ГБОУ школа № 37","Иностранный язык (английский язык)"
2017,"Московская олимпиада","призёр",2018,3,9,"ГБОУ школа № 1256","Изобразительное искусство"
2012,"Московская олимпиада","призёр",2013,4,7,"ГБОУ лицей «Вторая школа»","Математика"
2015,"Всероссийская олимпиада","призёр",2016,3,10,"ГБОУ школа № 1231","Иностранный язык (французский язык)"
2015,"Всероссийская олимпиада","призёр",2016,3,11,"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора","Мировая Художественная Культура (МХК)"
