"Year_begin","OlympiadType","Year_end","ShortName","Class","Status","Subject","TeamSize"
2012,"Московская олимпиада",2013,"ГБОУ гимназия № 45",11,"победитель","предпринимательство",3
2013,"Московская олимпиада",2014,"ГБОУ гимназия № 1504",7,"призёр","Изобразительное искусство",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 962",11,"победитель","Экология",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 2036",8,"призёр","Основы безопасности жизнедеятельности",5
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей № 1547",10,"призёр","Физика",3
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1580",9,"призёр","Физика",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 625",10,"призёр","История",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 1231",9,"призёр","Изобразительное искусство",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1517",9,"призёр","История",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1987",10,"победитель","Литература",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1210",11,"призёр","Мировая Художественная Культура (МХК)",5
2012,"Районная олимпиада",2013,"ГБОУ лицей № 1501",9,"призёр","География",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 1315",7,"призёр","Физика",3
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей «Вторая школа»",10,"призёр","Физика",3
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 1257",11,"призёр","Право",3
2013,"Районная олимпиада",2014,"ГБОУ гимназия № 1520 им. Капцовых",9,"призёр","Мировая Художественная Культура (МХК)",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1912",9,"победитель","Физическая культура",5
2018,"Всероссийская олимпиада",2019,"МАОУ «Гимназия г. Троицка»",11,"призёр","Мировая Художественная Культура (МХК)",4
2016,"Всероссийская олимпиада",2017,"ГБОУ ЦО № 1449",9,"призёр","Основы безопасности жизнедеятельности",3
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1574",10,"призёр","Право",5
2013,"Московская олимпиада",2014,"ГБОУ школа-интернат «Интеллектуал»",6,"победитель","Математика",3
2013,"Всероссийская олимпиада",2014,"ГАОУ ВО МИОО. СОШ № 179",10,"призёр","Математика",5
2014,"Московская олимпиада",2015,"ГБОУ школа № 1238",6,"призёр","Изобразительное искусство",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1234",8,"призёр","География",3
2012,"Московская олимпиада",2013,"ГБОУ гимназия № 1522",10,"призёр","Экономика",3
2012,"Московская олимпиада",2013,"ГБОУ СОШ № 1188",2,"призёр","Изобразительное искусство",4
2013,"Районная олимпиада",2014,"ГБОУ Физматшкола 2007",9,"призёр","Математика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1534 «Академическая»",11,"призёр","Обществознание",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 171",10,"победитель","Химия",4
2013,"Московская олимпиада",2014,"ГБОУ СОШ № 1188",6,"призёр","Изобразительное искусство",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 710",10,"призёр","Биология",5
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 45",9,"призёр","Мировая Художественная Культура (МХК)",5
2017,"Московская олимпиада",2018,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",11,"призёр","Математика",4
2016,"Районная олимпиада",2017,"ГБОУ «ЦО № 654 имени А.Д. Фридмана»",11,"победитель","Физическая культура",5
2012,"Московская олимпиада",2013,"ГБОУ ЦО № 1637",1,"победитель","Изобразительное искусство",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 57",10,"призёр","География",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1543",9,"призёр","Математика",5
2012,"Всероссийская олимпиада",2013,"ГБОУ Лингвистический лицей № 1555",10,"призёр","Иностранный язык (французский язык)",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 2097",6,"призёр","Биология",5
2019,"Всероссийская олимпиада",2020,"ФГБОУ ВО МГЛУ",9,"призёр","Право",3
2015,"Московская олимпиада",2016,"ГБОУ школа № 1413",5,"призёр","филология",4
2013,"Всероссийская олимпиада",2014,"ГБОУ Московская гимназия на Юго-Западе № 1543",10,"призёр","Физика",5
2013,"Московская олимпиада",2014,"ГБОУ ЦО № 57",7,"призёр","Биология",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 1535",11,"призёр","Биология",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1394",10,"призёр","Мировая Художественная Культура (МХК)",3
2018,"Московская олимпиада",2019,"ГАОУ школа № 548",6,"призёр","Робототехника",5
2016,"Московская олимпиада",2017,"ГБОУ лицей № 1537",10,"призёр","Физика",4
2015,"Московская олимпиада",2016,"ГБОУ лицей № 1367",9,"призёр","Физика",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1527",9,"призёр","Технология",5
2017,"Районная олимпиада",2018,"ГБОУ школа № 138",9,"победитель","Искусство (МХК)",3
2015,"Московская олимпиада",2016,"ГБОУ школа № 843",8,"призёр","Обществознание",3
2015,"Московская олимпиада",2016,"ГБОУ гимназия № 1515",8,"призёр","Химия",3
2012,"Всероссийская олимпиада",2013,"ГБОУ СОШ № 25",10,"призёр","Математика",4
2016,"Всероссийская олимпиада",2017,"ГБОУ Физматшкола № 2007",9,"призёр","Информатика",4
2018,"Районная олимпиада",2019,"ГБОУ школа № 1512",9,"призёр","Мировая Художественная Культура (МХК)",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 1454 «Тимирязевская»",11,"победитель","География",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1376",10,"призёр","Русский язык",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1492",10,"призёр","Технология",3
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 1631",5,"призёр","Технология",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1273",10,"призёр","Экология",3
2013,"Всероссийская олимпиада",2014,"ГБОУ лицей № 1553 им. В. И. Вернадского",10,"призёр","Биология",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1543",11,"призёр","Русский язык",5
2015,"Московская олимпиада",2016,"ГБОУ гимназия № 1522",9,"призёр","Обществознание",3
2015,"Районная олимпиада",2016,"ГБОУ школа № 1252 имени Сервантеса",9,"призёр","Русский язык",3
2013,"Московская олимпиада",2014,"ГБОУ ЦО № 57",9,"призёр","Математика",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 185",6,"победитель","География",5
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1582",9,"призёр","Физика",3
2016,"Московская олимпиада",2017,"ГБОУ школа № 1371",7,"призёр","География",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1543",11,"призёр","История",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1352",11,"призёр","Физическая культура",4
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 57",10,"призёр","Математика",4
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей № 1501",11,"призёр","Иностранный язык (немецкий язык)",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 109",10,"призёр","Иностранный язык (немецкий язык)",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1575",8,"призёр","Обществознание",4
2019,"Районная олимпиада",2020,"ГБОУ школа № 1251 имени генерала Шарля де Голля",10,"призёр","Литература",5
2014,"Всероссийская олимпиада",2015,"ГБОУ школа № 641 имени С. Есенина",11,"призёр","Иностранный язык (английский язык)",3
2015,"Московская олимпиада",2016,"ГБОУ Физматшкола № 2007",9,"призёр","Информатика",3
2019,"Всероссийская олимпиада",2020,"ГБПОУ «Воробьевы горы»",11,"победитель","Физика",3
