"purpose","housing","duration","personal_status","credit_amount","age","existing_credits","credit_history","type"
"подержанная машина","без жилья",6,"женщина",4669,87,1,"все кредиты погашены","ненадежный"
"образование","домовладелец",46,"мужчина (одинокий)",2645,47,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",35,"женщина",3461,25,1,"все кредиты погашены","надежный"
"бытовая техника","домовладелец",38,"женщина",1398,35,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",15,"женщина",693,23,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",30,"мужчина (одинокий)",2727,32,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",52,"мужчина (разведенный)",3336,41,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",15,"мужчина (женатый или вдовец)",1008,24,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",20,"мужчина (одинокий)",8329,40,2,"все кредиты погашены","ненадежный"
"бытовая техника","домовладелец",18,"мужчина (женатый или вдовец)",2051,35,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",39,"женщина",4340,23,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",12,"мужчина (женатый или вдовец)",1545,26,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","арендатор",41,"мужчина (женатый или вдовец)",6308,25,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",11,"мужчина (одинокий)",2061,53,2,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",16,"женщина",4294,44,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",20,"мужчина (одинокий)",2579,41,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",37,"мужчина (одинокий)",1288,25,1,"есть непогашенные кредиты","надежный"
"образование","арендатор",23,"женщина",520,26,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",36,"мужчина (женатый или вдовец)",1709,28,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",23,"мужчина (одинокий)",4785,34,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",15,"мужчина (женатый или вдовец)",1241,29,3,"есть просрочки платежей","ненадежный"
"мебель","арендатор",35,"женщина",5688,23,1,"есть непогашенные кредиты","надежный"
